2    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F
30   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
33   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
36   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1
39   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1
42   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    1
45   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    1    2
48   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    1    0    0    2    2AT
51   0    0    0    1    0    0    0    1    0    0    0    1    0    0    0    1    0    1    2AT  2AT
54   0    0    0    1    0    0    0    1    0    0    0    1    0    0    1    1    1    1    2AT  3AT
57   0    0    0    1    0    0    0    1    0    0    0    1    0    0    1    2    1    1    3AT  3AT
60   0    0    1    2    0    0    1    2    0    0    1    2    0    0    1    2    1    2    3AT  3AT
63   0    0    1    2    0    0    1    2    0    0    1    2    0    0    1    2    1    2    3AT  4AT
66   0    0    1    2    0    0    1    2    0    0    1    2    0    0    2    3AT  2    2    4AT  4BT
69   0    0    1    3    0    0    1    3    0    0    1    3    1    1    2    3AT  2    3AT  4AT  5BT
72   0    0    2    3    0    1    2    3    0    0    2    3    1    1    2AT  3AT  2    3AT  4BT  5BT
75   0    1    2    3    1    1    2    3    0    0    2    3AT  1    1    3AT  4AT  3    3AT  5BT  5BT
78   0    1    2    4    1    1    2    4AT  0    1    2    4AT  1    1AT  3AT  4AT  3    4AT  5BT  6BT
81   0    1    3    4AT  1    1    3    4AT  0    1    3    4AT  2AT  2AT  3AT  4AT  3AT  4AT  5BT  6CT
84   0    1    3    4AT  1    1    3    4AT  1    1    3AT  4AT  2AT  2AT  4AT  5AT  4AT  4AT  6BT  6CT
87   0    1    3    5AT  1    1    3AT  5AT  1    1    3AT  5AT  2AT  2AT  4AT  5BT  4AT  5AT  6CT  7CT
90   1    2    4AT  5AT  2    2    4AT  5AT  1    2    4AT  5AT  2AT  2AT  4AT  5BT  4AT  5BT  6CT  7CT
93   1    2AT  4AT  5AT  2    2    4AT  5BT  1    2AT  4AT  5AT  3AT  3AT  5BT  6BT  5AT  5BT  7CT  8CT
96   1    2AT  4AT  6AT  2AT  2AT  4AT  6BT  1    2AT  4AT  6BT  3AT  3BT  5BT  6BT  5AT  6BT  7CT  8CT
99   1    2AT  4AT  6AT  2AT  2AT  4AT  6BT  1AT  2AT  4AT  6BT  3BT  3BT  5BT  6CT  5AT  6BT  8CT  8CT
102  1AT  3AT  5AT  6BT  2AT  2AT  5AT  6BT  2AT  3AT  5AT  6BT  3BT  3BT  6BT  6CT  6BT  6BT  8CT  9CT
105  2AT  3AT  5AT  7BT  3AT  3AT  5AT  7CT  2AT  3AT  5BT  7CT  4BT  4BT  6CT  7CT  6BT  7CT  8CT  9CT
108  2AT  3AT  5BT  7BT  3AT  3AT  5BT  7CT  2AT  3AT  5BT  7CT  4BT  4CT  6CT  7CT  6BT  7CT  9CT  9CT
111  2AT  3AT  6BT  7BT  3AT  3AT  6BT  7CT  2AT  3AT  6BT  7CT  4CT  4CT  6CT  7CT  6BT  7CT  9CT 10CT
114  2AT  4BT  6BT  8CT  3AT  3AT  6BT  8CT  2AT  4BT  6BT  8CT  4CT  4CT  7CT  8CT  7CT  8CT  9CT 10CT
117  2AT  4BT  6BT  8CT  3BT  3AT  6BT  8CT  3AT  4BT  6CT  8CT  5CT  5CT  7CT  8CT  7CT  8CT 10CT 10DT
120  3AT  4BT  7BT  8CT  4BT  4BT  7CT  8CT  3AT  4BT  7CT  8CT  5CT  5CT  7CT  8CT  7CT  8CT 10CT 11DT
123  3AT  4BT  7CT  9CT  4BT  4BT  7CT  9CT  3BT  4BT  7CT  9CT  5CT  5CT  8CT  9DT  8CT  9CT 10DT 11DT
126  3BT  5BT  7CT  9CT  4BT  4BT  7CT  9CT  3BT  5BT  7CT  9CT  5CT  5CT  8CT  9DT  8CT  9CT 11DT 12DT
129  3BT  5CT  7CT  9CT  4BT  4BT  7CT  9CT  3BT  5CT  7CT  9DT  6CT  6CT  8DT  9DT  8CT  9DT 11DT 12DT
132  3BT  5CT  8CT 10CT  4CT  4CT  8CT 10DT  3BT  5CT  8CT 10DT  6CT  6CT  9DT 10DT  9CT 10DT 11DT 12DT
135  4BT  5CT  8CT 10DT  5CT  5CT  8CT 10DT  4BT  5CT  8CT 10DT  6DT  6DT  9DT 10DT  9DT 10DT 12DT 13DT
138  4BT  6CT  8CT 10DT  5CT  5CT  8CT 10DT  4CT  6CT  8DT 10DT  6DT  6DT  9DT 10DT  9DT 10DT 12DT 13DT
141  4CT  6CT  9CT 11DT  5CT  5CT  9CT 11DT  4CT  6CT  9DT 11DT  7DT  7DT 10DT 11DT 10DT 11DT 12DT 13DT
144  4CT  6CT  9DT 11DT  5CT  5CT  9DT 11DT  4CT  6DT  9DT 11DT  7DT  7DT 10DT 11DT 10DT 11DT 13DT 14DT
147  4CT  6DT  9DT 11DT  5CT  5DT  9DT 11DT  4CT  6DT  9DT 11DT  7DT  7DT 10DT 11DT 10DT 11DT 13DT 14DT
150  5DT  7DT 10DT 12DT  6DT  6DT 10DT 12DT  5DT  7DT 10DT 12DT  8DT  8DT 11DT 12DT 11DT 12DT 14DT 15DT
