1    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
49   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
59   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
64   1    1    0    0    1    0    0    0    0    0    0    0    1    0    0    0    0    0    0    0  
69   1    1    0    0    1    1    0    0    0    0    0    0    1    1    0    0    0    0    0    0  
74   1    1    1    0    1    1    1    0    1    0    0    0    1    1    1    0    0    0    1    0  
79   1    1    1    1    1    1    1    1    1    0    1    0    1    1    1    1    1    0    1    0  
80   1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1  
81   1    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1    1    1    2    1  
82   1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    1    1    1    2    1  
85   1    1    1    1    1    1    1    1    1    1    1    1    2    1    2    2    1    1    2    1  
86   1    1    2    1    1    1    2    1    1    1    1    1    2    2    2    2    1    1    2    1  
89   1    1    2    1    1    1    2    1    1    1    1    1    2    2    2    2    1    1    2    2  
90   1    1    2    2    1    1    2    2    1    1    2    1    2    2    2    2    1    2    3    2  
92   1    1    2    2    1    1    2    2    1    1    2    1    2    2    2    3    1    2    3    2  
93   1    1    2    2    1    1    2    2    1    1    2    1    2    2    3    3    1    2    3    2  
99   1    1    2    2    1    1    2    2    1    1    2    2    2    2    3    3    2    2    3    3  
100  2    1    2    2    1    1    2    2    1    1    2    2    2    2    3    4    2    3    4AK  3  
101  2    1    2    2    1    1    2    2    1    1    2    2    2    2    3    4    2    3    4AK  4  
103  2    1    3    2    1    1    3    2    1    1    2    2    2    2    3    4    2    3    4AK  4  
104  2    1    3    2    1    1    3    2    1    1    2    2    2    2    4    4    2    3    4AK  4  
107  2    2    3    3    2    1    3    3    1    1    3    2    3    2    4    4AK  2    3    4AK  4  
109  2    2    3    3    2    2    3    3    1    1    3    3    3    3    4    5AK  2    3    4AK  5  
112  2    2    3    3    2    2    3    3    2    1    3    3AK  3    3    4AK  5AK  2    4    5AK  5AK
114  2    2    3    3    2    2    3    3    2    1    3    3AK  3    3    4AK  5AK  3    4    5BK  5AK
115  2    2    3    3    2    2    3    3    2    2    3    3AK  3    3AK  4AK  5AK  3    4AK  5BK  6AK
