5    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
37   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
43   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
47   3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
49   3    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
52   4    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
55   4    3    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
57   5    3    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
61   5    4    2    0    4    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
65   6    5    3    2    5    4    2    0    0    0    0    0    6    0    0    0    0    0    0    0  
67   6    5    4    3    6    5    3    0    0    0    0    0    7    5    0    0    0    0    0    0  
68   6    6    4    3    7    5    4    2    0    0    0    0    7    5    0    0    0    0    0    0  
69   7    6    4    3    7    6    4    2    0    0    0    0    7    6    5    5    0    0    0    0  
70   7    6    5    4    7    6    5    3    3    0    0    0    8    6    5AK  5AK  0    0    0    0  
71   7    6    5    4    8    6    5    3    3    0    0    0    8    6    6AS  6AS  0    0    0    0  
72   7    6    5    4    8    7    5    4    4    0    0    3    8    7    6AK  6AK  0    0    0    0  
73   7    7    5    4    8    7    6    4    4    0    0    3AK  9    7    7AS  7AS  0    0    0    0  
74   7    7    6    5    9    7    6    4    4    0    0    4AS  9    7AK  7AK  7AK  0    0    0    0  
75   8    7    6    5    9    8    7    5    5    0    3    4AK  9    8AS  7AS  8AS  0    0    0    0  
76   8    7    6    5    9    8    7    5    5    0    3    5AS 10    8AK  8AK  8AK  0    0    9    0  
77   8    7    6    6   10    8    7    6AK  6    0    4AK  5AK 10    8AS  8AS  9AS  0    0    9AK  0  
78   8    8    6    6   10    9    8    6AS  6    0    4AS  6AS 10    9AK  9AK  9AK  0    0   10AS  0  
79   8    8    6    6   10    9    8    7AK  6    0    5AK  6AK 11AK  9AS  9AS 10AS  0    0   10AK  0  
80   8    8    7    6   11    9    9    7AS  7    3    5AS  7AS 11AS  9AK 10AK 10AK  0    0   11BS  0  
81   9    8    7    7   11   10    9    7AK  7    3    6AK  7AK 11AK 10AS 10BS 11BS  0    0   11BK  0  
82   9    8    7    7   11   10    9    8AS  8    4AK  6AS  8BS 12AS 10BK 10BK 11BK  0    0   12BS  0  
83   9    8    8    7   12   10   10    8AK  8    4AS  7AK  8BK 12AK 11BS 11BS 11BS  0    0   12BK  0  
84   9    9    8    7   12   11   10    9AS  8    5AK  7AS  9BS 12AS 11BK 11BK 12BK  0    0   13BS  0  
85   9    9    8    8   12   11   11    9AK  9    5AS  8BK  9BK 13AK 11BS 12BS 12BS  0    0   13BK  0  
86   9    9    8    8   13   11   11   10AS  9    6AK  8BS 10BS 13AS 12BK 12BK 13BK  0    0   14CS  9  
87   9    9    9    8AS 13   12   11AK 10AK 10AK  6AS  9BK 10BK 13AK 12BS 13BS 13BS  0    0   14CK 10AK
88  10    9    9    9AK 13   12   12AS 10AS 10AS  7AK  9BS 11BS 14AS 12BK 13BK 14BK  0    0   15CS 10AS
89   0   10    9    9AS 14   13   12AK 11BK 10AK  7AS 10BK 11BK 14AK 13BS 13BS 14BS  0    7   15CK 11AK
