7    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
31   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
41   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
44   1    1    0    0    0    0    0    0    0    0    0    0    3    0    0    0    0    0    0    0  
47   2    1    0    0    0    0    0    0    0    0    0    0    3    0    0    0    0    0    0    0  
50   2    1    0    0    1    0    0    0    0    0    0    0    3    3    0    0    0    0    0    0  
53   2    2    1    0    1    0    0    0    0    0    0    0    3    3    0    0    0    0    0    0  
56   2    2    1    0    2    1    0    0    0    0    0    0    3    3    3    0    0    0    0    0  
58   2    2    1    1    2    1    0    0    0    0    0    0    4    3    3    0    0    0    0    0  
60   2    2    2    1    2    2    1    0    0    0    0    0    4    3    3    3    0    0    0    0  
63   3    2    2    2    3    2    1    0    0    0    0    0    4    4    4    3    0    0    0    0  
67   3    3    2    2    3    3    2    1    2    0    0    0    4    4    4    4    0    0    7    0  
69   3    3    3    2    4    3    3    2    2    0    0    0    4    4    5    4    2    0    7    0  
70   3    3    3    3    4    3    3    2    2    0    0    0    5    4    5    5    2    0    7    0  
72   3    3    3    3    4    3    3    2    3    0    2    0    5    4    5    5    2    0    8    0  
73   3    3    3    3    4    4    3    3    3    0    2    0    5    4    5    5    2    0    8    0  
75   3    4    3    3    4    4    4    3    3    0    3    0    5    5    5    5    2    5    8    7  
76   4    4    4    3    5    4    4    3    3    2    3    2    5    5    6    6    3    5    8    7  
77   4    4    4    4    5    4    4    3    4    2    3    2    5    5    6    6    3    5    8    7  
78   4    4    4    4    5    4    4    4    4    2    4    2    5    5    6    6    3    5    9    7  
79   4    4    4    4    5    5    5    4    4    2    4    3    5    5    6    6    3    5    9    8  
80   4    4    4    4    5    5    5    4    4    3    4    3    5    5    6    6AK  3    5    9    8  
81   4    4    4    4    5    5    5    4    4    3    4    3    5    5    6    6AG  3    6    9    8  
82   4    4    4    4    5    5    5    4    4    3    5    3    5    5    6    7AK  3    6    9    8  
83   4    4    4    5    6    5    5    5    5    3    5    4    5    5    7    7AG  4    6    9    8  
84   4    4    4    5    6    5    6    5    5    4    5    4    6    5    7    7AK  4    6    9    8  
