4    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
49   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
58   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
62   2    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
63   2    1    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
65   2    1    0    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
66   2    2    0    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
67   3    2    0    0    3    2    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
68   3    2    0    0    3    2    0    0    0    0    0    0    5    0    0    0    0    0    0    0  
70   3    2    1    0    3    2    1    0    0    0    0    0    5    4    0    0    0    0    0    0  
71   3    2    1    0    3    2    1    0    0    0    0    0    5    4    4    4    0    0    0    0  
72   3    2    1    0    4    3    1    0    0    0    0    0    5    4    4AK  4AK  0    0    0    0  
73   3    2    1    0    4    3    2    0    0    0    0    0    5    4    4AP  4AP  0    0    0    0  
74   3    3    1    0    4    3    2    0    0    0    0    0    6    5    5AP  5AP  0    0    0    0  
75   3    3    2    1    4    3    2    1    2    0    0    0    6    5AK  5AP  5AP  0    0    0    0  
76   3    3    2    1    5    4    3    1    2    0    0    0    6    5AP  5AP  5AP  0    0    0    0  
77   4    3    2    1    5    4    3    1    2    0    0    0    6    5AP  6AP  6AP  0    0    0    0  
78   4    3    2    1    5    4    3    2    2    0    0    0    6    5AP  6AP  6AP  0    0    0    0  
79   4    3    2    2    5    4    4    2    3    0    0    2    7    6AP  6AP  6AP  0    0    0    0  
80   4    3    3    2    6    5    4    2AK  3    0    2    2AK  7AK  6AP  6AP  7AP  0    0    0    0  
81   4    4    3    2    6    5    4    3AP  3    0    2    3AP  7AP  6AP  7AP  7AP  0    0    8    0  
82   4    4    3    2    6    5    5    3AP  3    0    3    3AP  7AP  6AP  7AP  7AP  0    0    8AK  0  
83   4    4    3    3    6    5    5    3AP  4    0    3    3AP  7AP  7AP  7AP  8AP  0    0    8AP  0  
84   4    4    3    3    7    6    5    4AP  4    0    3    4AP  8AP  7AP  8AP  8AP  0    0    8AP  0  
85   4    4    3    3    7    6    5    4AP  4    2    4AK  4AP  8AP  7BP  8BP  8AP  0    0    9AP  0  
86   5    4    4    3    7    6    6    4AP  4    2    4AP  4AP  8AP  7BP  8BP  9AP  0    0    9AP  0  
87   5    4    4    3    7    6    6    5AP  5    2    4AP  5AP  8AP  7BP  8BP  9AP  0    0    9AP  0  
88   5    5    4    4    8    7    6    5AP  5    3    5AP  5AP  9AP  8BP  9BP  9BP  0    0    9AP  0  
89   5    5    4    4    8    7    7    5AP  5    3    5AP  5AP  9AP  8BP  9BP 10BP  0    0   10AP  0  
90   5    5    4    4    8    7    7AK  6AP  5    3AK  5AP  6BP  9AP  8BP  9BP 10BP  3    0   10BP  0  
91   5    5    5    4    8    7    7AP  6AP  6    4AP  5AP  6BP  9AP  8BP 10BP 10BP  3    0   10BP  0  
92   5    5    5    5    8    8    8AP  6AP  6    4AP  6AP  6BP  9AP  9BP 10BP 11BP  3    0   10BP  0  
93   5    5    5    5    9    8    8AP  7BP  6    4AP  6AP  7BP 10AP  9BP 10BP 11BP  3    0   10BP  4  
94   5    5    5    5    9    8    8AP  7BP  6    5AP  7AP  7BP 10AP  9BP 10BP 11BP  4    0   11BP  8AK
95   6    6    5    5AK  9    8AK  9AP  7BP  7AK  5AP  7AP  7BP 10AP  9BP 11BP 12BP  4    6AK 11BP  9AP
96   6    6    5    5AP  9    9AP  9AP  8BP  7AP  5AP  7BP  9BP 10BP  9BP 11BP 12BP  4    6AP 11BP  9AP
97   6    6    6    6AP 10    9AP  9AP  8BP  7AP  6AP  8BP  8BP 10BP 10BP 11BP 12BP  4    6AP 11BP  9AP
98   6    6    6    6AP 10    9AP  9AP  8BP  7AP  6AP  8BP  8BP 11BP 10BP 12BP 13BP  5    7AP 12BP 10AP
99   6    6    6    6AP 10    9AP 10AP  9BP  8AP  6AP  9BP  9BP 11BP 10BP 12BP 13BP  5    7AP 12CP 10AP
100  6    6    6    6AP 10AK 10AP 10AP  9BP  8AP  7AP  9BP  9BP 11BP 10CP 12BP 13BP  5AK  7AP 12CP 10AP
101  6    6    6    7AP 11AP 10AP 10AP  9BP  8AP  7BP  9BP  9BP 11BP 11CP 12BP 14BP  5AP  7AP 12CP 11BP
