4    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
29   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
39   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
44   1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
49   2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
54   2    2    1    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
57   2    2    1    1    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
60   2    2    2    1    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
62   3    3    2    2    2    2    1    0    0    0    0    0    4    4    0    0    0    0    0    0  
64   3    3    2    2    3    2    1    0    0    0    0    0    4    4    0    0    0    0    0    0  
66   3    3    3    2    3    2    2    1    2    0    0    0    5    4    4    0    0    0    0    0  
68   3    3    3    3    3    3    2    1    2    0    0    0    5    4    4    0    0    0    0    0  
69   3    3    3    3    3    3    2    2    2    0    0    0    5    5    4    0    0    0    0    0  
71   3    3    3    3    4    3    3    2    2    0    2    0    5    5    5    4    0    0    0    0  
72   3    3    3    3    4    3    3    2    3    0    2    0    5    5    5    4    0    0    0    0  
73   3    4    3    3    4    3    3    2    3    0    2    0    5    5    5    4    0    0    0    0  
74   3    4    3    3    4    4    3    3    3    0    3    0    6    5    5    5    0    0    0    0  
75   4    4    4    4    4    4    4    3    3    2    3    2    6    5    5    5    0    0    8    0  
77   4    4    4    4    5    4    4    3    3    2    3    2    6    5    6    5    0    0    8    0  
78   4    4    4    4    5    4    4    3    3    2    3    2    6    6    6    5    0    0    8    0  
79   4    4    4    4    5    4    4    4    4    2    4    3    6    6    6    6    0    0    8    0  
81   4    4    4    4    5    5    5    4    4    3    4    3    6    6    6    6    3    0    9    0  
82   4    4    4    5    5    5    5    4    4    3    4    3    6    6    7    6    3    0    9    0  
83   4    4    5    5    6    5    5    4    4    3    5    4    7    6    7    7    3    0    9    0  
84   4    5    5    5    6    5    5    5    4    3    5    4    7    6    7    7    3    0    9    0  
85   4    5    5    5    6    5    6    5    4    4    5    4AK  7    6    7    7AK  4    6    9    8  
86   4    5    5    5    6    5    6    5    5    4    5    4AK  7    6    7    7AK  4    6   10    8  
87   4    5    5    5    6    6    6    5    5    4    5    5AK  7    7    8    7AK  4    6   10    8  
88   4    5    5    5    6    6    6    6    5    4    6    5AK  7    7    8    8AK  4    6   10    8  
89   4    5    5    6    7    6    6    6    5    4    6    5AK  7    7    8    8AK  4    6   10    9  
90   5    5    5    6    7    6    7    6    5    4    6    5AK  7    7    8AK  8AK  4    7   10AK  9  
91   5    5    5    6    7    6    7    6    5    5    6    6AK  7    7    8AK  8AK  5    7   10AK  9  
92   5    5    6    6    7    6    7    6    5    5    7    6AK  7    7    9AK  9AK  5    7   11AK  9  
94   5    5    6    6    7    7    7    7    6    5    7    6AK  8    7    9AK  9AK  5    7   11AK 10  
95   5    6    6    6    7    7    8    7    6    5    7AK  6AK  8    7AK  9AK  9AK  5    7   11AK 10  
96   5    6    6    7    7    7    8    7    6    6    7AK  7AK  8    8AK  9AK  9AK  5    8   11AK 10  
97   5    6    6    7    8    7    8    7    6    6    8AK  7AK  8    8AK  9AK 10AK  6    8   11BK 10  
98   5    6    6    7    8    7    8    8    6    6    8AK  7BK  8    8AK  9AK 10AK  6    8   12BK 11  
99   5    6    6    7    8    8    8    8    6    6    8AK  7BK  8    8AK 10BK 10BK  6    8   12BK 11  
100  5    6    7    7    8    8    9    8AK  7    6AK  8AK  8BK  8AK  8AK 10BK 10BK  6    8   12BK 11AK
101  5    6    7    7    8    8    9    8AK  7    6AK  9AK  8BK  8AK  8AK 10BK 11BK  6    9   12BK 11AK
102  5    6    7    7    8    8    9    8AK  7    7AK  9AK  8BK  8AK  8AK 10BK 11BK  6    9   12BK 12AK
103  5    6    7    8    9    8    9    9AK  7    7AK  9AK  8BK  9AK  8AK 10BK 11BK  7    9   12BK 12AK
104  5    6    7    8    9    8    9    9AK  7    7AK  9AK  9BK  9AK  9BK 10BK 11BK  7    9   13BK 12AK
105  6    6    7    8AK  9    8   10    9AK  7AK  7AK  9AK  9BK  9AK  9BK 11BK 11BK  7    9AK 13BK 12AK
106  6    7    7    8AK  9    9   10    9AK  7AK  7AK 10BK  9BK  9AK  9BK 11BK 12BK  7    9AK 13CK 12AK
107  6    7    7    8AK  9    9   10    9AK  7AK  8AK 10BK  9BK  9AK  9BK 11BK 12BK  7   10AK 13CK 13BK
108  6    7    8    8AK  9    9   10   10AK  8AK  8AK 10BK 10BK  9AK  9BK 11BK 12BK  7   10AK 13CK 13BK
109  6    7    8    9AK  9    9   10   10AK  8AK  8AK 10BK 10BK  9AK  9BK 11BK 12BK  8   10AK 13CK 13BK
110  6    7    8    9AK 10    9   11AK 10AK  8AK  8AK 11BK 10BK  9AK  9BK 12BK 13BK  8AK 10AK 14CK 13BK
