5    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
29   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
37   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
39   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
45   2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
49   3    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
53   3    3    1    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
58   4    3    2    1    3    2    1    0    0    0    0    0    4    0    0    0    0    0    0    0  
63   4    4    2    2    4    3    2    1    2    0    0    0    5    4    0    0    0    0    0    0  
66   5    4    3    3    5    4    3    2    3    0    2    0    6    5    4    0    0    0    0    0  
67   5    5    4    3    5    4    4    3    3    0    2    0    7    6    5    0    0    0    0    0  
68   5    5    4    3    5    4    4    3    4    0    3    0    7    6    5    0    0    0    0    0  
69   5    5    4    4    5    5    4    3    4    0    3    0    7    6    5    4    0    0    0    0  
70   5    5    4    4    6    5    4    3    4    2    3    2    7    6    6    4    0    0    0    0  
71   5    5    4    4    6    5    5    4    4    2    4    2AS  7    6    6    5AS  0    0    0    0  
72   5    5    5    4    6    5    5    4    4    2    4    2AK  8    7    6    5AK  0    0    0    0  
73   6    5    5    4    6    5    5    4    5    3    4    3AS  8    7    6    5AS  0    0    0    0  
74   6    6    5    5    6    6    5    4    5    3    5    3AK  8    7    7    6AK  0    0    8    0  
75   6    6    5    5    7    6    6    5    5    3    5    3AS  8    7    7AS  6AS  0    0    8AK  0  
76   6    6    5    5    7    6    6    5    5    3    5    4AK  8    8    7AK  6AK  0    0    8AS  0  
77   6    6    5    5    7    6    6    5    6    4    6    4AS  9    8    8AS  7AS  0    0    9AK  0  
78   6    6    6    5    7    7    6    6    6    4    6    4AK  9    8    8AK  7AK  0    0    9AS  0  
79   6    6    6    6    7    7    7    6    6    4    6    5AS  9    8    8AS  7AS  3    0    9AK  0  
80   6    6    6    6    8    7    7    6    6    5    7    5AK  9    9AK  9AK  8AK  3    0   10AS  0  
81   7    7    6    6    8    7    7    6    7    5    7AS  5AS 10    9AS  9AS  8AS  3    0   10AK  0  
82   7    7    6    6    8    7    7    7    7    5    7AK  6AK 10    9AK  9AK  8AK  4    0   10BS  0  
83   7    7    7    7    8    8    8    7    7    5    7AS  6BS 10    9AS  9AS  9AS  4    0   11BK  0  
84   7    7    7    7    8    8    8    7    7    6    8AK  6BK 10    9AK 10AK  9BK  4    6   11BS  8  
85   7    7    7    7    9    8    8    7    7    6    8AS  7BS 10AK 10AS 10AS 10BS  5    6   11BK  8AK
86   7    7    7    7    9    8    8    8AS  8    6AK  8AK  7BK 11AS 10AK 10AK 10BK  5    7   12BS  9AS
87   7    7    7    7    9    8    9    8AK  8    7AS  9AS  7BS 11AK 10AS 11BS 10BS  5    7   12BK  9AK
88   7    8    7    8    9    9    9    8AS  8    7AK  9AK  8BK 11AS 10AK 11BK 11BK  6    7   12BS 10AS
89   7    8    8    8    9    9    9    8AK  8    7AS  9AS  8BS 11AK 11BS 11BS 11BS  6    8   13BK 10AK
90   8    8    8    8   10    9    9    9AS  9    7AK 10AK  8BK 12AS 11BK 12BK 11BK  6    8AK 13BS 10AS
91   8    8    8    8   10    9   10    9AK  9AS  8AS 10AS  9BS 12AK 11BS 12BS 12BS  7    8AS 13CK 11BK
92   8    8    8    8   10    9   10    9AS  9AK  8AK 10BK  9BK 12AS 11BK 12BK 12BK  7    9AK 14CS 11BS
93   8    8    8    9   10   10   10    9AK  9AS  8AS 11BS  9BS 12AK 11BS 12BS 12BS  7    9AS 14CK 12BK
94   8    8    9    9   10   10   10   10AS 10AK  9AK 11BK 10BK 12AS 12BK 13BK 13BK  8    9AK 14CS 12BS
95   8    9    9    9   11   10   11   10AK 10AS  9AS 11BS 10BS 13AK 12BS 13BS 13BS  8AK 10AS 15CK 12BK
96   8    9    9    9AK 11   10   11AS 10AS 10AK  9AK 12BK 10BK 13AS 12BK 13BK 13BK  8AS 10AK 15CS 13BS
97   8    9    9    9AS 11   10   11AK 11AK 10AS  9AS 12BS 11BS 13AK 12BS 14BS 14BS  9AK 11BS 15CK 13CK
98   8    9    9   10AK 11   11   11AS 11AS 10AK 10BK 12BK 11BK 13BS 13BK 14BK 14BK  9AS 11BK 16CS 14CS
99   9    9    9   10AS 11   11   12AK 11BK 11AS 10BS 12BS 11CS 13BK 13BS 14BS 14BS  9AK 11BS 16CS 14CK
100  9    9   10   10AK 12   11   12AS 11BS 11AK 10BK 13BK 12CK 14BS 13BK 15BK 15CK 10AS 12BK 16CS 14CS
101  9    9   10   10AS 12   11AS 12AK 12BK 11AS 11BS 13BS 12CS 14BK 13BS 15BS 15CS 10AK 12BS 17CS 15CK
102  9   10   10   10AK 12   12AK 12AS 12BS 11AK 11BK 13BK 12CK 14BS 14BK 15BK 16CK 10BS 12BK 17CS 15CS
103  9   10   10   11AS 12   12AS 13AK 12BK 12AK 11BS 14BS 13CS 14BK 14CS 15CS 16CS 11BK 13BS 17DS 16CK
104  9   10   10   11AK 12   12AK 13AS 12BS 12BK 11BK 14BK 13CK 15BS 14CK 16CK 16CK 11BS 13BK 18DS 16CS
105  9   10   10   11AS 13   12AS 13AK 13BK 12BS 12BS 14BS 13CS 15BK 14CS 16CS 17CS 11BK 13CS 18DS 16DS
