 4   F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
21   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
31   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
41   2    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
46   2    2    1    0    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
50   3    2    2    1    3    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0  
55   3    3    2    2    3    2    2    1    0    0    0    0    4    0    0    0    0    0    0    0  
60   4    4    3    2    4    3    3    2    2    0    0    0    5    4    0    0    0    0    0    0  
64   4    4    3    3    4    4    4    3    2    0    2    0    5    5    4    0    0    0    0    0  
66   4    4    4    4    5    4    4    3    3    0    3    0    6    5    5    4    0    0    0    0  
67   4    4    4    4    5    5    5    4    3    2    3    2    6    6    5    4    0    0    0    0  
68   5    5    4    4    6    5    5    4    4    2    3    2    6    6    5    5    0    0    0    0  
69   5    5    4    4    6    5    5    4    4    2    4    2    6    6    6    5    0    0    0    0  
70   5    5    4    4    6    5    5    5    4    2    4    3    7    6    6    5    0    0    8    0  
71   5    5    5    5    6    5    6    5    4    3    4    3    7    6    6    5    0    0    8    0  
72   5    5    5    5    6    6    6    5    4    3    4    3AK  7    6    6    6    0    0    8    0  
73   5    5    5    5    6    6    6    5    5    3    5    3AS  7    6    7    6    0    0    8    0  
74   5    5    5    5    6    6    6    5    5    3    5    4AK  7    7    7    6    0    0    9    0  
75   5    5    5    5    7    6    6    6    5    4    5    4AS  7    7    7    6AK  3    0    9    0  
76   5    5    5    5    7    6    7    6    5    4    5    4AK  8    7    7    7AS  3    0    9    0  
77   5    6    5    6    7    6    7    6    5    4    6    5AS  8    7    7    7AK  3    0    9    0  
78   5    6    6    6    7    7    7    6    5    4    6    5AK  8    7    8    7AS  3    0   10    0  
79   5    6    6    6    7    7    7    6    6    4    6    5AS  8    7    8    8AK  4    0   10    0  
80   6    6    6    6    7    7    7    7    6    5    6    5AK  8    8    8AK  8AS  4    6   10AK  8  
81   6    6    6    6    8    7    8    7    6    5    7    6AS  8    8    8AS  8AK  4    6   10AS  8  
82   6    6    6    6    8    7    8    7    6    5    7AK  6BK  8    8    9AK  8AS  4    6   11AK  8  
83   6    6    6    7    8    7    8    7    6    5    7AS  6BS  9    8    9AS  9AK  5    7   11AS  9  
84   6    6    6    7    8    8    8    7    7    6    7AK  6BK  9    8    9AK  9AS  5    7   11AK  9  
85   6    6    7    7    8    8    8    8AK  7    6    8AS  7BS  9    8AK  9AS  9AK  5    7   11AS  9  
86   6    7    7    7    8    8    9    8AS  7    6    8AK  7BK  9    8AS  9AK  9AS  5    7   11AK 10  
87   6    7    7    7    9    8    9    8AK  7    6AS  8AS  7BS  9    9AK 10AS 10AK  6    8   12BS 10  
88   6    7    7    7    9    8    9    8AS  7    6AK  8AK  8BK  9    9AS 10AK 10BS  6    8   12BK 10  
89   6    7    7    8    9    8    9    9AK  7    7AS  9AS  8BS  9    9AK 10AS 10BK  6    8   12BS 10  
90   6    7    7    8    9    9    9    9AS  8    7AK  9AK  8BK 10AK  9AS 10AK 10BS  6    8   12BK 11AK
91   6    7    7    8    9    9   10    9AK  8    7AS  9AS  8BS 10AS  9AK 11BS 11BK  7    9   13BS 11AS
92   7    7    8    8    9    9   10    9AS  8AK  7AK 10BK  9BK 10AK  9AS 11BK 11BS  7    9   13BK 11AK
93   7    7    8    8    9    9   10    9AK  8AS  8AS 10BS  9BS 10AS 10BK 11BS 11BK  7    9   13BS 12AS
94   7    7    8    8   10    9   10   10AS  8AK  8AK 10BK  9BK 10AK 10BS 11BK 12BS  7    9   13BK 12AK
95   7    7    8    9AK 10    9   10AK 10AK  9AS  8AS 10BS  9BS 10AS 10BK 11BS 12BK  7   10AK 14BS 12AS
96   7    8    8    9AS 10   10   11AS 10AS  9AK  8AK 11BK 10BK 10AK 10BS 12BK 12BS  8   10AS 14CK 13AK
97   7    8    8    9AK 10   10   11AK 10AK  9AS  9BS 11BS 10CS 11AS 10BK 12BS 12BK  8   10AK 14CS 13BS
98   7    8    8    9AS 10   10   11AS 10AS  9AK  9BK 11BK 10CK 11AK 10BS 12BK 13BS  8   10AS 14CK 13BK
99   7    8    8    9AK 10   10   11AK 11BK  9AS  9BS 11BS 11CS 11AS 11BK 12BS 13BK  8   11AK 15CS 13BS
100  7    8    9    9AS 11   10AK 11AS 11BS  9AK  9BK 12BK 11CK 11AK 11BS 13BK 13BS  9AK 11AS 15CK 14BK
101  7    8    9    9AK 11   10AS 12AK 11BK 10AS  9BS 12BS 11CS 11AS 11BK 13BS 13BK  9AS 11AK 15CS 14BS
102  7    8    9   10AS 11   11AK 12AS 11BS 10AK 10BK 12BK 11CK 11BK 11BS 13BK 14BS  9AK 11BS 15CK 14BK
103  7    8    9   10AK 11   11AS 12AK 12BK 10BS 10BS 12BS 12CS 12BS 11BK 13BS 14CK  9AS 12BK 15CS 15CS
104  8    8    9   10AS 11   11AK 12AS 12BS 10BK 10BK 13BK 12CK 12BK 11BS 13BK 14CS 10AK 12BS 16CK 15CK
105  8    9    9AK 10AK 11AK 11AS 12AK 12BK 10BS 10BS 13CS 12CS 12BS 11BK 14BS 14CK 10AS 12BK 16CS 15CS
106  8    9    9AS 10AS 12AS 11AK 13AS 12BS 11BK 11BK 13CK 12CK 12BK 12CS 14CK 15CS 10AK 12BS 16CK 15CK
107  8    9   10AK 10AK 12AK 11AS 13BK 12BK 11BS 11BS 13CS 13CS 12BS 12CK 14CS 15CK 10AS 13BK 16CS 16CS
108  8    9   10AS 11AS 12AS 12AK 13BS 13BS 11BK 11BK 14CK 13CK 12BK 12CS 14CK 15CS 11BK 13BS 17DK 16CK
109  8    9   10AK 11BK 12AK 12AS 13BK 13BK 11BS 11BS 14CS 13CS 12BS 12CK 14CS 16CK 11BS 13BK 17DS 16CS
110  8    9   10AS 11BS 12AS 12AK 13BS 13BS 11BK 11CK 14CK 14CK 13BK 12CS 15CK 16CK 11BK 13CS 17DK 17CK
111  8    9   10AK 11BK 12AK 12BS 14BK 13CK 11BS 12CS 14CS 14CS 13BS 12CK 15CS 16CK 11BS 14CK 17DS 17DS
112  8    9   10AS 11BS 12AS 12BK 14BS 13CS 12BK 12CK 15CK 14CK 13BK 13CS 15CK 16CS 11BK 14CS 18DK 17DK
113  8    9   10AK 11BK 13AK 12BS 14BK 14CK 12BS 12CS 15CS 14CS 13BS 13CK 15CS 17CK 12BS 14CK 18DS 18DS
114  8   10   11AS 12BS 13AS 13BK 14BS 14CS 12BK 12CK 15CK 15CK 13BK 13CS 16CK 17DS 12CK 14CS 18DK 18DK
115  9   10AK 11AK 12BK 13BK 13BS 14BK 14CK 12BS 13CS 15CS 15CS 13BS 13CK 16CS 17DK 12CS 15CK 18DS 18DS
116  9   10AS 11AS 12BS 13BS 13BK 15BS 14CS 12CK 13CK 16CK 15DK 13CK 13CS 16CK 17DS 12CK 15CS 19DK 18DK
117  9   10AK 11AK 12BK 13BK 13BS 15CK 14CK 13CS 13CS 16CS 15DS 14CS 13CK 16CS 18DK 13CS 15CK 19DS 19DS
118  9   10AS 11AS 12BS 13BS 13BK 15CS 15CS 13CK 13CK 16CK 16DK 14CK 13CS 16CK 18DS 13CK 15CS 19DK 19DK
119  9   10AK 11AK 12CK 14BK 13BS 15CK 15CK 13CS 13CS 16CS 16DS 14CS 14CK 17CS 18DK 13CS 16CK 19DS 19DS
120  9AK 10AS 11BS 13CS 14BS 14BK 15CS 15CS 13CK 14CK 17CK 16DK 14CK 14CS 17DK 18DS 13CK 16DS 19DK 20DK
