5    F   F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F
44   0   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
49   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
55   2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
59   3    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
62   3    2    1    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0
63   4    3    1    0    3    2    0    0    0    0    0    0    4    0    0    0    0    0    0    0
64   4    3    1    0    3    2    0    0    0    0    0    0    5    0    0    0    0    0    0    0
65   4    3    2    1    3    2    1    0    0    0    0    0    5    4    0    0    0    0    0    0
66   4    3    2    1    3    2    1    0    0    0    0    0    5    4    4    4    0    0    0    0
67   4    3    2    1    4    3    1    0    0    0    0    0    5    4    4AK  4AK  0    0    0    0
68   4    4    2    1    4    3    2    0    0    0    0    0    5    4    4AP  4AP  0    0    0    0
69   4    4    2    2    4    3    2    0    0    0    0    0    6    5    5AP  5AP  0    0    0    0
70   4    4    3    2    4    3    2    1    2    0    0    0    6    5AK  5AP  5AP  0    0    0    0
71   5    4    3    2    5    4    3    1    2    0    0    0    6    5AP  5AP  5AP  0    0    0    0
72   5    4    3    2    5    4    3    1    2    0    0    0    6    5AP  6AP  6AP  0    0    0    0
73   5    4    3    3    5    4    3    2    3    0    0    0    7    6AP  6AP  6AP  0    0    0    0
74   5    4    3    3    5    4    4    2    3    0    0    2    7    6AP  6AP  6AP  0    0    0    0
75   5    5    4    3    6    5    4    2AK  3    0    2    2AK  7AK  6AP  6AP  7AP  0    0    0    0
76   5    5    4    3    6    5    4    3AP  3    0    2    3AP  7AP  6AP  7AP  7AP  0    0    8    0
77   5    5    4    4    6    5    5    3AP  4    0    3    3AP  7AP  7AP  7AP  7AP  0    0    8AK  0
78   5    5    4    4    6    6    5    3AP  4    0    3    3AP  8AP  7AP  7AP  8AP  0    0    8AP  0
79   6    5    4    4    7    6    5    4AP  4    0    3    4AP  8AP  7BP  8AP  8AP  0    0    9AP  0
80   6    5    5    4    7    6    6    4AP  4    2    4AK  4AP  8AP  7BP  8AP  8AP  0    0    9AP  0
