 4   F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
42   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
52   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
57   1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
60   1    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
62   2    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
63   2    1    1    0    1    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
64   2    1    1    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
67   2    2    1    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
68   2    2    1    1    2    2    1    0    0    0    0    0    4    4    0    0    0    0    0    0  
69   2    2    1    1    2    2    1    0    0    0    0    0    5    4    0    0    0    0    0    0  
70   2    2    1    1    3    2    1    0    0    0    0    0    5    4    0    0    0    0    0    0  
71   2    2    2    1    3    2    1    0    0    0    0    0    5    4    0    0    0    0    0    0  
72   2    2    2    1    3    2    2    0    0    0    0    0    5    4    0    0    0    0    0    0  
73   2    2    2    1    3    2    2    1    2    0    0    0    5    4    4    0    0    0    0    0  
74   2    2    2    2    3    3    2    1    2    0    0    0    5    5    4    0    0    0    0    0  
75   2    2    2    2    3    3    2    1    2    0    0    0    5    5    4    4    0    0    0    0  
76   2    2    2    2    4    3    2    1    2    0    0    0    6    5    4    4AP  0    0    0    0  
77   2    3    2    2    4    3    3    2    2    0    0    0    6    5    5    4AP  0    0    0    0  
78   2    3    2    2    4    3    3    2    3    0    2    0    6    5    5    5AP  0    0    0    0  
79   3    3    2    2    4    3    3    2    3    0    2    0    6    5    5    5AP  0    0    0    0  
80   3    3    3    2    4    4    3    2    3    0    2    2    6    6    5AK  5AP  0    0    8    0  
81   3    3    3    3    4    4    4    3    3    0    3    2AP  6    6    6AP  5AP  0    0    8AP  0  
82   3    3    3    3    5    4    4    3    3    0    3    2AP  6    6    6AP  6AP  0    0    8AP  0  
83   3    3    3    3    5    4    4    3    4    2    3    3AP  7    6    6AP  6AP  0    0    8AP  0  
84   3    3    3    3    5    4    4    3    4    2    4    3AP  7    6    6AP  6AP  0    0    9AP  0  
85   3    3    3    3    5    4    4    3    4    2    4    3AP  7    6AK  6AP  7AP  0    0    9AP  0  
86   3    3    3    3    5    5    5    4    4    2    4    4AP  7    6AP  7AP  7AP  0    0    9AP  0  
