5    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
47   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
57   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
59   2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
63   2    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
64   2    1    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
67   2    2    0    0    2    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
68   3    2    1    0    3    1    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
69   3    2    1    0    3    2    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
72   3    2    1    0    3    2    1    0    0    0    0    0    5    4    0    0    0    0    0    0  
73   3    3    2    1    4    3    2    0    0    0    0    0    5    4    0    0    0    0    0    0  
74   3    3    2    1    4    3    2    0    0    0    0    0    5    5    0    4    0    0    0    0  
75   3    3    2    1    4    3    2    1    2    0    0    0    6    5    4AK  4AK  0    0    0    0  
76   3    3    2    1    4    3    3    1    2    0    0    0    6    5    4AP  4AP  0    0    0    0  
77   3    3    2    2    5    4    3    1    2    0    0    0    6    5    4AP  5AP  0    0    0    0  
78   4    3    2    2    5    4    3    2    2    0    0    0    6    5    5AP  5AP  0    0    0    0  
79   4    3    3    2    5    4    3    2    3    0    0    2    6    6    5AP  5AP  0    0    0    0  
80   4    3    3    2    5    4    4    2    3    0    2    2AK  7    6AK  5AP  6AP  0    0    0    0  
81   4    4    3    2    6    5    4    3    3    0    2    2AP  7    6AP  6AP  6AP  0    0    8    0  
82   4    4    3    3    6    5    4    3    3    0    3    3AP  7    6AP  6AP  6AP  0    0    8AK  0  
83   4    4    3    3    6    5    5    3    4    0    3    3AP  7    6AP  6AP  7AP  0    0    8AP  0  
84   4    4    3    3    6    5    5    4    4    0    3    3AP  7    7AP  6AP  7AP  0    0    8AP  0  
85   4    4    4    3    6    6    5    4AK  4    2    4AK  4AP  8AK  7AP  7AP  7AP  0    0    9AP  0  
86   4    4    4    3    7    6    6    4AP  4    2    4AP  4AP  8AP  7AP  7AP  8AP  0    0    9AP  0  
87   4    4    4    4    7    6    6    5AP  5    2    4AP  4AP  8AP  7AP  7AP  8AP  0    0    9AP  0  
88   4    4    4    4    7    6    6    5AP  5    3    5AP  5AP  8AP  7AP  8AP  8AP  0    0    9AP  0  
89   5    5    4    4    7    7    6    5AP  5    3    5AP  5AP  8AP  8BP  8BP  9BP  0    0   10AP  0  
90   5    5    4    4    8    7    7    6AP  5    3AK  5AP  5BP  9AP  8BP  8BP  9BP  3    0   10AP  0  
91   5    5    5    4    8    7    7    6AP  6    4AP  6AP  6BP  9AP  8BP  8BP  9BP  3    0   10BP  8  
92   5    5    5    5    8    7    7    6AP  6    4AP  6AP  6BP  9AP  8BP  9BP 10BP  3    0   10BP  8AK
93   5    5    5    5    8    8    8    6AP  6    4AP  6AP  6BP  9AP  9BP  9BP 10BP  4    0   11BP  8AP
94   5    5    5    5    9    8    8    7AP  6    5AP  7AP  7BP  9AP  9BP  9BP 10BP  4    0   11BP  9AP
95   5    5    5    5    9    8    8AK  7AP  6AK  5AP  7AP  7BP 10AP  9BP 10BP 11BP  4    6AK 11BP  9AP
96   5    6    5    5    9    8    8AP  7AP  7AP  5AP  7BP  7BP 10AP  9BP 10BP 11BP  4    6AP 11BP  9AP
97   5    6    6    6    9    9    9AP  8AP  7AP  5AP  8BP  8BP 10AP  9BP 10BP 11BP  5    6AP 12BP 10AP
98   5    6    6    6    9    9    9AP  8AP  7AP  6AP  8BP  8BP 10BP 10BP 10BP 12BP  5    7AP 12BP 10BP
99   6    6    6    6   10    9    9AP  8AP  7AP  6AP  8BP  8BP 10BP 10BP 11BP 12BP  5    7AP 12BP 10BP
100  6    6    6    6AK 10    9AK 10AP  9BP  8AP  6AP  9BP  9BP 11BP 10BP 11BP 12BP  5AK  7AP 12CP 11BP
101  6    6    6    6AP 10   10AP 10AP  9BP  8AP  7BP  9BP  9BP 11BP 10BP 11BP 13BP  6AP  7AP 13CP 11BP
102  6    6    6    7AP 10   10AP 10AP  9BP  8AP  7BP  9BP  9BP 11BP 10BP 12BP 13BP  6AP  8AP 13CP 11BP
103  6    6    7    7AP 11   10AP 11AP 10BP  8AP  7BP 10BP 10BP 11BP 11CP 12BP 13BP  6AP  8AP 13CP 12BP
104  6    7    7    7AP 11   10AP 11AP 10BP  9AP  8BP 10BP 10BP 11BP 11CP 12BP 14BP  6AP  8BP 13CP 12BP
105  6    7    7    7AP 11AK 11AP 11AP 10BP  9AP  8BP 10BP 10CP 12BP 11CP 12CP 14CP  7AP  9BP 14CP 12CP
106  6    7    7    7AP 11AP 11AP 11AP 11BP  9AP  8BP 11BP 11CP 12BP 11CP 13CP 14CP  7AP  9BP 14CP 13CP
107  6    7    7    8AP 12AP 11AP 12AP 11BP  9AP  8BP 11BP 11CP 12BP 11CP 13CP 15CP  7BP  9BP 14CP 13CP
108  6    7    7    8AP 12AP 11AP 12AP 11BP 10BP  9BP 11BP 11CP 12BP 12CP 13CP 15CP  7BP  9BP 14CP 13CP
109  7    7    8    8AP 12AP 11AP 12BP 12BP 10BP  9BP 12BP 12CP 12BP 12CP 14CP 15CP  8BP 10BP 15CP 14CP
110  7    7    8AK  8AP 12AP 12AP 13BP 12BP 10BP  9BP 12CP 12CP 13BP 12CP 14CP 16CP  8BP 10BP 15CP 14CP
111  7    7    8AP  8AP 12AP 12AP 13BP 12BP 10BP 10BP 12CP 12CP 13BP 12CP 14CP 16CP  8BP 10BP 15DP 14CP
112  7    8    8AP  9AP 13AP 12AP 13BP 12CP 10BP 10BP 13CP 13CP 13BP 13CP 14CP 16CP  9BP 11CP 15DP 14CP
113  7    8    8AP  9AP 13AP 12AP 14BP 13CP 11BP 10BP 13CP 13CP 13CP 13CP 15CP 16CP  9BP 11CP 16DP 15DP
114  7    8    8AP  9AP 13AP 13BP 14BP 13CP 11BP 11BP 13CP 13CP 13CP 13CP 15CP 17CP  9CP 11CP 16DP 15DP
115  7    8    9AP  9AP 13AP 13BP 14BP 13CP 11BP 11CP 14CP 14CP 14CP 13CP 15CP 17CP  9CP 11CP 16DP 15DP
116  7    8    9AP 10BP 14AP 13BP 14BP 14CP 11BP 11CP 14CP 14CP 14CP 13CP 16CP 17DP 10CP 12CP 16DP 16DP
117  7    8    9AP 10BP 14AP 13BP 15BP 14CP 12BP 11CP 14CP 14CP 14CP 14CP 16CP 18DP 10CP 12CP 16DP 16DP
118  7    8    9AP 10BP 14BP 14BP 15BP 14CP 12BP 12CP 15CP 15CP 14CP 14CP 16CP 18DP 10CP 12CP 17DP 16DP
119  7    8    9AP 10BP 14BP 14BP 15CP 15CP 12BP 12CP 15CP 15CP 14CP 14CP 17CP 18DP 10CP 13CP 17DP 17DP
120  8    9AK  9AP 10BP 15BP 14BP 16CP 15CP 12BP 12CP 15CP 15CP 15CP 14CP 17DP 19DP 11CP 13CP 17DP 17DP
