2    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
19   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
29   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
34   2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
37   2    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
40   2    2    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
44   3    2    1    0    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
49   3    2    2    1    2    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0  
54   4    3    3    2    3    2    2    1    0    0    0    0    0    0    0    0    0    0    0    0  
59   4    4    3    3    4    3    3    2    0    0    0    0    4    0    0    0    0    0    0    0  
64   4    4    4    3    5    4    4    3    2    0    0    0    4    4    0    0    0    0    0    0  
68   5    5    4    4    6    5    5    4    2    0    2    0    5    4    4    0    0    0    0    0  
69   5    5    5    5    6    6    6    5    3    0    3    0    5    5    4    0    0    0    0    0  
70   5    5    5    5    6    6    6    5    3    2    3    2    5    5    5    4    0    0    0    0  
71   5    5    5    5    7    6    6    5    3    2    3    2    6    5    5    4    0    0    0    0  
72   5    5    5    5    7    6    6    6    3    2    3    2    6    5    5    4    0    0    0    0  
73   5    6    5    5    7    6    7    6    3    2    3    2    6    5    5    4    0    0    0    0  
74   6    6    6    6    7    6    7    6    4    2    4    3    6    5    5    5    0    0    0    0  
76   6    6    6    6    7    7    7    6    4    3    4    3AK  6    6    6    5AK  0    0    0    0  
77   6    6    6    6    8    7    7    7    4    3    4    3AK  6    6    6    5AK  0    0    0    0  
78   6    6    6    6    8    7    8    7    4    3    5    4AK  6    6    6    6AK  0    0    8    0  
79   6    6    6    6    8    7    8    7    4    3    5    4AK  7    6    6    6AK  0    0    8    0  
80   6    6    6    7    8    8    8    7    4    4    5    4AK  7    6    7AK  6AK  0    0    8AK  0  
81   6    7    7    7    8    8    8    7    5    4    5    4AK  7    6    7AK  6AK  0    0    8AK  0  
82   6    7    7    7    8    8    8    8    5    4    5    5AK  7    7    7AK  7AK  0    0    8AK  0  
84   6    7    7    7    9    8    9    8    5    4    6    5AK  7    7    7AK  7AK  3    0    9AK  0  
