2    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
35   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
45   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
50   1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
55   1    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
60   1    1    1    0    1    1    0    0    0    0    0    0    3    0    0    0    0    0    0    0  
62   1    1    1    1    1    1    1    0    0    0    0    0    3    3    0    0    0    0    0    0  
64   1    2    1    1    2    1    1    0    0    0    0    0    3    3    0    0    0    0    0    0  
65   2    2    1    1    2    1    1    0    0    0    0    0    3    3    0    0    0    0    0    0  
66   2    2    1    1    2    2    1    1    2    0    0    0    3    3    3    0    0    0    0    0  
67   2    2    2    1    2    2    1    1    2    0    0    0    4    3    3    0    0    0    0    0  
69   2    2    2    1    2    2    2    1    2    0    0    0    4    3    3    0    0    0    0    0  
70   2    2    2    2    2    2    2    1    2    0    0    0    4    3    3    0    0    0    0    0  
71   2    2    2    2    2    2    2    1    2    0    2    0    4    3    3    3    0    0    0    0  
72   2    2    2    2    2    2    2    1    2    0    2    0    4    4    4    3    0    0    0    0  
75   2    2    2    2    3    2    2    2    2    0    2    0    4    4    4    3    0    0    0    0  
76   2    2    2    2    3    2    3    2    2    2    2    2    4    4    4    4    0    0    7    0  
77   2    2    2    2    3    3    3    2    2    2    3    2    4    4    4    4    0    0    7    0  
78   2    2    2    2    3    3    3    2    3    2    3    2    4    4    4    4AK  0    0    7    0  
79   2    2    3    3    3    3    3    2    3    2    3    2    5    4    5    4AP  0    0    7    0  
80   2    2    3    3    3    3    3    3    3    2    3    2    5    4    5    4AS  0    0    7    0  
81   2    3    3    3    3    3    3    3    3    2    3    3    5    4    5    5AP  2    0    7    0  
82   2    3    3    3    3    3    3    3    3    2    3    3    5    4    5    5AS  2    0    8    0  
83   2    3    3    3    3    3    4    3    3    2    4    3    5    5    5AS  5AP  2    0    8AK  0  
84   2    3    3    3    4    3    4    3    3    3    4    3    5    5    5AK  5AS  2    0    8AP  0  
85   2    3    3    3    4    3    4    3    3    3    4    3    5    5    6AP  5AP  2    0    8AS  0  
86   2    3    3    3    4    3    4    3    3    3    4    3    5    5    6AS  6AS  2    5    8AP  7  
87   2    3    3    3    4    4    4    4    3    3    4    4    5    5    6AP  6AP  3    5    8AS  7  
88   2    3    3    4    4    4    4    4    3    3    4    4    5    5AK  6AS  6AS  3    5    9AP  7  
89   2    3    3    4    4    4    4    4    3    3    5    4    5    5AP  6AP  6AP  3    5    9AS  7  
90   2    3    3    4    4    4    4    4    4    3    5    4AK  5    5AS  6AS  6AS  3    5    9AP  8  
91   2    3    4    4    4    4    5    4    4    3    5    4AP  6    5AP  6AP  7AP  3    6    9AS  8  
92   2    3    4    4    4    4    5    4    4    4    5    4AS  6    5AS  7AS  7AS  3    6    9AP  8  
93   3    3    4    4    4    4    5    4    4    4    5    5AP  6AK  5AP  7AP  7AP  4    6    9AS  8AK
94   3    3    4    4    4    4    5    5    4    4    5    5AS  6AP  6AS  7AS  7AS  4    6   10AP  8AP
95   3    3    4    4    5    4    5    5    4    4    6    5AP  6AS  6AP  7AP  7AP  4    6   10BS  9AS
96   3    3    4    4    5    4    5    5    4    4    6    5AS  6AP  6AS  7AS  8BS  4    6   10BP  9AP
97   3    3    4    5    5    4    5    5    4    4    6    5AP  6AS  6AP  7AP  8BP  4    7   10BS  9AS
98   3    4    4    5    5    5    6    5    4    4    6    5AS  6AP  6AS  8AS  8BS  4    7AK 10BP  9AP
99   3    4    4    5    5    5    6    5    4    4    6    6AP  6AS  6AP  8AP  8BP  4    7AP 10BS 10AS
100  3    4    4    5    5    5    6    5    4    4    6AK  6AS  6AP  6AS  8BS  8BS  5    7AS 10BP 10AP
101  3    4    4    5    5    5    6    6    4    5    7AP  6AP  6AS  6BP  8BP  9BP  5    7AP 11BS 10AS
102  3    4    4    5    5    5    6    6    5    5    7AS  6AS  6AP  6BS  8BS  9BS  5    7AS 11BP 10AP
103  3    4    5    5    5    5    6    6    5    5    7AP  6AP  7AS  6BP  8BP  9BP  5AK  8AP 11BS 10BS
104  3    4    5    5    5    5    6    6    5    5    7AS  7AS  7AP  6BS  8BS  9BS  5AP  8AS 11BP 11BP
105  3    4    5    5    5    5    6    6AK  5    5AK  7AP  7BP  7AS  6BP  9BP  9BP  5AS  8AP 11BS 11BS
106  3    4    5    6    6    5    7    6AP  5    5AP  7AS  7BS  7AP  7BS  9BS 10BS  6AP  8AS 11CP 11BP
107  3    4    5    6    6    5    7    6AS  5    5AS  8AP  7BP  7AS  7BP  9BP 10BP  6AS  8AP 12CS 11BS
108  3    4    5    6    6    6    7    7AP  5    5AP  8AS  7BS  7AP  7BS  9BS 10BS  6AP  8AS 12CP 11BP
109  3    4    5    6    6    6    7    7AS  5    6AS  8AP  7BP  7BS  7BP  9BP 10BP  6AS  9AP 12CS 12BS
110  3    4    5    6    6    6    7    7AP  5AK  6AP  8AS  8BS  7BP  7BS  9BS 10BS  6AP  9BS 12CP 12BP
111  3    4    5    6    6    6    7    7AS  5AP  6AS  8AP  8BP  7BS  7BP 10BP 11BP  6AS  9BP 12CS 12BS
112  3    4    5    6    6    6    7    7AP  5AS  6AP  8AS  8BS  7BP  7BS 10BS 11BS  7AP  9BS 12CP 12CP
113  3    4    5    6    6    6    8    7AS  5AP  6AS  8AP  8BP  7BS  7BP 10BP 11CP  7AS  9BP 13CS 13CS
114  3    4    5    6    6    6    8    7AP  6AS  6AP  9BS  8BS  7BP  7BS 10BS 11CS  7BP  9BS 13CP 13CP
115  3    4    6    7AK  6    6    8AK  8AP  6AP  6AS  9BP  8BP  8BS  7CP 10BP 11CP  7BS 10BP 13CS 13CS
116  3    5    6    7AP  6    6    8AP  8AP  6AS  6AP  9BS  9BP  8BP  7CS 10CS 12CP  7BP 10BS 13CP 13CP
117  3    5    6    7AS  7    6    8AS  8AP  6AP  7AS  9BP  9BP  8BS  8CP 10CP 12CP  7BS 10BP 13CS 13CS
118  3    5    6    7AP  7    6    8AP  8AP  6AS  7BP  9BS  9BP  8BP  8CS 11CP 12CP  7BP 10BS 13DP 14CP
119  3    5    6    7AP  7    7    8AS  8AP  6AP  7BS  9BP  9CP  8BS  8CP 11CP 12CP  8BS 10CP 14DS 14CS
120  3    5    6    7AP  7    7AK  9AP  8BP  6AS  7BP 10BS  9CP  8BP  8CP 11CP 12CP  8BP 10CS 14DP 14CP
121  3    5    6    7AP  7    7AP  9AS  8BP  6AP  7BS 10BP  9CP  8BS  8CP 11CP 13CP  8BS 11CP 14DS 14CS
122  4    5    6    7AP  7    7AS  9AP  9BP  6AS  7BP 10BP 10CP  8BP  8CP 11CP 13CP  8CP 11CS 14DP 14DP
123  4    5    6    7AP  7    7AP  9AP  9BP  6BP  7BS 10BP 10CP  8CP  8CP 11CP 13CP  8CS 11CP 14DP 15DS
124  4    5    6    8AP  7    7AS  9AP  9BP  6BS  7BP 10BP 10CP  8CP  8CP 12CP 13CP  8CP 11CS 14DP 15DP
125  4    5    6AK  8AP  7AK  7AP  9AP  9BP  6BP  7BP 10BP 10CP  8CP  8CP 12CP 13CP  9CS 11CP 14DP 15DS
126  4    5    6AP  8AP  7AP  7AS  9AP  9BP  7BS  8BP 11CP 10CP  8CP  8CP 12CP 14DP  9CP 11CS 15DP 15DP
127  4    5    7AS  8AP  7AS  7AP  9AP  9BP  7BP  8BP 11CP 11CP  9CP  8CP 12CP 14DP  9CS 12CP 15DP 16DS
128  4    5    7AP  8AP  8AP  7AP 10BP  9BP  7BP  8BP 11CP 11CP  9CP  9CP 12CP 14DP  9CP 12CS 15DP 16DP
129  4    5    7AP  8BP  8AS  8AP 10BP 10BP  7BP  8BP 11CP 11CP  9CP  9CP 12CP 14DP  9CS 12DP 15DP 16DP
130  4    5    7AP  8BP  8AP  8AP 10BP 10BP  7BP  8CP 11CP 11CP  9CP  9CP 12DP 14DP  9CP 12DP 15DP 16DP
131  4    5    7AP  8BP  8AP  8AP 10BP 10CP  7BP  8CP 11CP 11CP  9CP  9DP 13DP 15DP 10CS 12DP 15EP 16DP
132  4    5    7AP  8BP  8AP  8AP 10BP 10CP  7BP  8CP 12CP 11CP  9CP  9DP 13DP 15DP 10CP 12DP 16EP 17DP
133  4    6    7AP  9BP  8AP  8BP 10BP 10CP  7BP  8CP 12CP 12CP  9CP  9DP 13DP 15DP 10DP 13DP 16EP 17DP
134  4    6    7AP  9BP  8AP  8BP 10BP 10CP  7CP  9CP 12CP 12DP  9CP  9DP 13DP 15DP 10DP 13DP 16EP 17EP
135  4    6AK  7AP  9BP  8AP  8BP 10BP 10CP  7CP  9CP 12CP 12DP  9CP  9DP 13DP 15DP 10DP 13DP 16EP 17EP
136  4    6AP  7BP  9BP  8AP  8BP 11CP 11CP  7CP  9CP 12CP 12DP  9CP  9DP 13DP 16DP 10DP 13DP 16EP 17EP
137  4    6AP  7BP  9CP  8BP  8BP 11CP 11CP  7CP  9CP 12CP 12DP  9DP  9DP 14DP 16DP 10DP 13DP 16EP 18EP
138  4    6AP  7BP  9CP  8BP  8BP 11CP 11CP  8CP  9CP 13CP 12DP  9DP  9DP 14DP 16DP 11DP 13DP 17EP 18EP
139  4    6AP  8BP  9CP  9BP  8BP 11CP 11CP  8CP  9CP 13DP 13DP 10DP 10DP 14DP 16EP 11DP 14EP 17EP 18EP
140  4AK  6AP  8BP  9CP  9BP  9BP 11CP 11CP  8CP  9CP 13DP 13DP 10DP 10DP 14DP 16EP 11DP 14DP 17EP 18EP
141  4AP  6AP  8BP  9CP  9BP  9CP 11CP 11DP  8CP  9DP 13DP 13DP 10DP 10DP 14EP 17EP 11EP 14EP 17EP 19EP
142  4AP  6AP  8BP 10CP  9BP  9CP 11CP 11DP  8CP 10DP 13DP 13DP 10DP 10EP 14EP 17EP 11EP 14EP 17EP 19EP
143  4AP  6AP  8CP 10CP  9CP  9CP 12CP 12DP  8CP 10DP 13DP 13EP 10DP 10EP 14EP 17EP 11EP 14EP 17EP 19EP
144  4AP  6BP  8CP 10DP  9CP  9CP 12CP 12DP  8DP 10DP 14DP 13EP 10EP 10EP 15EP 17EP 12EP 14EP 18EP 19EP
145  4AP  6BP  8CP 10DP  9CP  9CP 12DP 12DP  8DP 10DP 14DP 14EP 10EP 10EP 15EP 17EP 12EP 15EP 18EP 19EP
146  4BP  6BP  8CP 10DP  9CP  9CP 12DP 12DP  8DP 10EP 14EP 14EP 10EP 10EP 15EP 18EP 12EP 15EP 18EP 20EP
147  4BP  6BP  8CP 10DP  9CP  9DP 12DP 12EP  8DP 10EP 14EP 14EP 10EP 10EP 15EP 18EP 12EP 15EP 18EP 20EP
148  4BP  6CP  8DP 10EP  9DP  9DP 12DP 12EP  8EP 10EP 14EP 14EP 10EP 10EP 15EP 18EP 12EP 15EP 18EP 20EP
149  4CP  6CP  8DP 10EP  9DP  9DP 12EP 12EP  8EP 10EP 14EP 14EP 10EP 10EP 15EP 18EP 12EP 15EP 18EP 20EP
150  4CP  6CP  8EP 10EP  9EP  9EP 12EP 12EP  8EP 10EP 14EP 14EP 10EP 10EP 15EP 18EP 12EP 15EP 18EP 20EP
