7    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
40   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
46   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
50   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
53   2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
55   3    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
58   3    2    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
60   3    2    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
62   4    2    1    0    3    2    0    0    0    0    0    0    5    0    0    0    0    0    0    0  
65   4    3    1    0    4    3    0    0    0    0    0    0    6    0    0    0    0    0    0    0  
67   4    3    2    1    4    3    2    0    0    0    0    0    6    5    0    0    0    0    0    0  
68   5    4    2    1    5    4    2    0    0    0    0    0    7    5    0    0    0    0    0    0  
69   5    4    2    2    5    4    3    0    0    0    0    0    7    6    0    0    0    0    0    0  
70   5    4    3    2    5    4    3    0    0    0    0    0    7    6    0    0    0    0    0    0  
71   5    4    3    2    6    4    3    2    3    0    0    0    8    6    5    0    0    0    0    0  
72   5    4    3    2    6    5    4    2    3    0    0    0    8    7    5    5    0    0    0    0  
73   5    5    3    3    6    5    4    3    3    0    0    0    8    7    6    5AK  0    0    0    0  
74   5    5    4    3    6    5    4    3    4    0    0    0    9    7    6    6AP  0    0    0    0  
75   6    5    4    3    7    5    5    3    4    0    0    0    9    8    6AK  6AS  0    0    0    0  
76   6    5    4    3    7    6    5    4    4    0    3    0    9    8    7AP  7AK  0    0    0    0  
77   6    5    4    4    7    6    5    4    5    0    3    3    9    8    7AS  7AP  0    0    9    0  
78   6    6    4    4    7    6    6    4    5    0    4    3AS 10    8    8AK  8AS  0    0    9AP  0  
79   6    6    5    4    8    7    6    5    5    0    4    4AK 10    9    8AP  8AK  0    0   10AS  0  
80   6    6    5    4    8    7    6    5    5    0    4    4AP 10    9AK  8AS  8AP  0    0   10AK  0  
81   6    6    5    5    8    7    7    5    6    3    5    5AS 11    9AP  9AK  8AS  0    0   11AP  0  
82   7    6    5    5    8    7    7    6    6    3    5    5AK 11   10AS  9AP  9AK  0    0   11AS  0  
83   7    6    6    5    9    8    7    6    6    4    6    5AP 11   10AK 10AS 10AP  0    0   11BK  0  
84   7    7    6    5    9    8    8    6    7    4    6    6AS 11   10AP 10AK 10BS  0    0   12BP  0  
85   7    7    6    6    9    8    8    7    7    4    6AK  6AK 12AK 11AS 10AP 11BK  0    0   12BS  0  
86   7    7    6    6    9    8    8    7    7    5    7AP  7BP 12AP 11AK 11BS 11BP  4    0   13BK  0  
87   7    7    6    6   10    9    8    7    8    5    7AS  7BS 12AS 11BP 11BK 11BS  4    0   13BP  9  
88   7    7    7    6   10    9    9    8    8    5    8AK  7BK 13AK 12BS 11BP 12BK  5    0   13BS  9AK
89   8    8    7    7   10    9    9    8    8    6    8AP  8BP 13AP 12BK 12BS 12BP  5    7   14CK 10AP
90   8    8    7    7   10    9    9    8AK  8    6AK  8AS  8BS 13AS 12BP 12BK 13BS  6    7AK 14CP 10AS
91   8    8    7    7   11   10   10    9AP  9    7AP  9AK  9BK 13AK 12BS 13BP 13BK  6    8AP 15CS 11BK
92   8    8    8    7   11   10   10    9AS  9    7AS  9AP  9BP 14AP 13BK 13BS 14BP  7    8AS 15CK 11BP
93   8    8    8    8   11   10   10    9AK  9    7AK 10AS  9BS 14AS 13BP 13BK 14BS  7    9AK 15CP 12BS
94   8    8    8    8   11   11   11   10AP 10    8AP 10AK 10BK 14AK 13BS 14BP 14BK  8    9BP 16CS 12BK
95   8    9    8    8   12   11   11   10AS 10AS  8AS 10BP 10BP 15BP 14BK 14BS 15BP  8AS 10BS 16CK 13CP
96   9    9    8    9   12   11   11   10AK 10AK  8AK 11BS 11BS 15BS 14BP 15BK 15CS  8AK 10BK 17CP 13CS
