4    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F
20   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
34   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0
39   1    1    0    0    1    0    0    0    0    0    0    0    4    0    0    0    0    0    0    0
44   1    1    1    0    1    1    0    0    0    0    0    0    4    4    0    0    0    0    0    0
49   1    1    1    1    2    1    1    0    2    0    0    0    5    4    4    0    0    0    0    0
54   1    1    1    1    2    1    1    1    2    0    2    0    5    4    4    4    0    0    8    0
59   1    2    2    2    2    2    2    1    2    2    2    2    5    5    5    5    3    0    9    0
64   1    2    2    2    3    2    2    2    3    2    3    2    6    5    6    5    3    6    9    8
66   2    2    2    2    3    3    3    2    3    3    4    3    6    6    6    6AP  4    6   10AK  8
67   2    2    2    2    3    3    3    3    3    3    4    3    6    6    7    7AS  4    7   10AS  9
68   2    2    2    3    3    3    3    3    3    3    4    3    6    6    7    7AP  4    7   10AP  9
70   2    2    2    3    3    3    3    3    3    3    4    4    6    6    7    7AP  4    7   10AP  9
71   2    2    3    3    3    3    4    3    3    3    4    4    6    6    7AP  7AS  5    7   10AS  9
72   2    2    3    3    3    3    4    3    3    3    4    4    6    6    7AS  7AP  5    7   10BP 10
73   2    2    3    3    4    3    4    3    3    3    5    4    7    6    7AP  8AS  5    7   11BS 10
74   2    2    3    3    4    3    4    3    3    3    5    4    7    6    7AS  8AP  5    7   11BP 10
75   2    2    3    3    4    3    4    4    4    3    5    4    7    6    8AP  8AS  5    8   11BS 10AK
76   2    2    3    3    4    3    4    4    4    4    5    4    7    6AP  8AS  8AP  5    8   11BP 10AP
77   2    2    3    3    4    4    4    4    4    4    5    5    7    7AS  8AP  8AS  5    8   11BS 10AS
78   2    3    3    3    4    4    4    4    4    4    5    5    7    7AP  8AS  8AP  5    8   11BP 11AP
79   2    3    3    3    4    4    4    4    4    4    5    5AK  7    7AS  8AP  9AS  6    8   11BS 11BS
80   2    3    3    4    4    4    5    4    4    4    5    5AP  7    7AP  8AS  9AP  6    8AK 11BP 11BP
81   2    3    3    4    4    4    5    4    4    4    6    5AS  7AP  7AS  8AP  9BS  6    8AP 12CS 11BS
82   2    3    3    4    4    4    5    4    4    4    6    5AP  7AS  7AP  9AS  9BP  6    9AS 12CP 11BP
83   2    3    3    4    4    4    5    5    4    4    6    5AS  7AP  7BS  9AP  9BS  6    9AP 12CS 11BS
84   2    3    3    4    4    4    5    5    4    4    6    6AP  7AS  7BP  9BS  9BP  6    9AS 12CP 12BP
85   2    3    3    4    4    4    5    5    4    4    6    6AS  7AP  7BS  9BP 10BS  6AK  9AP 12CS 12CS
86   2    3    3    4    5    4    5    5    4    4    6    6AP  8AS  7BP  9BS 10BP  6AP  9AS 12CP 12CP
87   2    3    4    4    5    4    5    5    4    5    6    6AS  8AP  7BS  9BP 10BS  7AS  9BP 12CS 12CS
88   2    3    4    4    5    4    5    5    4    5    7    6AP  8AS  7BP  9BS 10BP  7AP  9BS 13CP 12CP
89   2    3    4    4    5    5    6    5    4    5    7AK  6AS  8AP  8BS  9BP 10BS  7AS  9BP 13CS 12CS
90   2    3    4    4    5    5    6    5AK  5    5    7AP  6AP  8AS  8BP 10BS 10BP  7BP 10BS 13CP 13CP
91   2    3    4    4    5    5    6    5AP  5    5    7AS  7AS  8AP  8BS 10BP 11BS  7BS 10BP 13CS 13CS
92   2    3    4    5    5    5    6    6AS  5    5    7AP  7AP  8AS  8BP 10BS 11BP  7BP 10BS 13CP 13CP
93   2    3    4    5    5    5    6    6AP  5    5    7AS  7AS  8AP  8BS 10BP 11BS  7BS 10BP 13CS 13CS
94   2    3    4    5    5    5    6    6AS  5    5AK  7AP  7BP  8BS  8BP 10BS 11BP  7BP 10BS 13DP 13DP
95   2    3    4    5    5    5    6    6AP  5    5AP  7AS  7BS  8BP  8BS 10BP 11BS  8BS 10BP 13DS 13DS
96   2    3    4    5    5    5    6    6AS  5    5AS  8AP  7BP  8BS  8BP 10BS 11BP  8BP 10CS 14DP 14DP
97   2    3    4    5    5    5    6    6AP  5    6AP  8AS  7BS  8BP  8BS 10BP 12BS  8CS 11CP 14DS 14DS
98   2    3    4    5    5    5    7    6AS  5    6AS  8AP  7BP  8BS  8CP 11BS 12CP  8CP 11CS 14DP 14DP
99   2    3    4    5    6    5    7    6AP  5AK  6AP  8AS  8BS  9BP  8CS 11BP 12CS  8CS 11CP 14DS 14DS
100  2    3    4    5    6    5    7AK  7AS  5AP  6AS  8AP  8BP  9BS  8CP 11BS 12CP  8CP 11CS 14DP 14DP
101  2    3    4    5    6    6    7AP  7AP  5AS  6AP  8AS  8BP  9BP  9CS 11CP 12CP  8CS 11CP 14DP 14DS
102  2    4    4    5    6    6    7AS  7AS  5AP  6AS  8AP  8BP  9BS  9CP 11CS 12CP  8CP 11CS 14DP 15DP
103  2    4    5    6    6    6    7AP  7AP  5AS  6AP  8AS  8BP  9BP  9CS 11CP 13CP  9CS 11CP 14DP 15DS
104  2    4    5    6    6    6    7AS  7AP  5AP  6AS  9BP  8BP  9BS  9CP 11CP 13CP  9CP 11CS 15DP 15DP
105  2    4    5    6AK  6    6AK  7AP  7BP  6AS  6AP  9BS  8BP  9BP  9CS 12CP 13CP  9CS 12CP 15DP 15DS
106  2    4    5    6AP  6    6AP  8AS  7BP  6AP  6AS  9BP  9BP  9BS  9CP 12CP 13CP  9CP 12CS 15DP 15DP
107  3    4    5    6AS  6    6AS  8AP  7BP  6AS  6BP  9BS  9BP  9BP  9CP 12CP 13CP  9CS 12DP 15DP 15DP
108  3    4    5    6AP  6    6AP  8AS  8BP  6AP  7BS  9BP  9BP  9BS  9CP 12CP 13CP  9CP 12DS 15DP 16DP
109  3    4    5    6AS  6    6AS  8AP  8BP  6AS  7BP  9BP  9BP  9BP  9CP 12CP 14CP  9CS 12DP 15DP 16DP
110  3    4    5    6AP  6AK  6AP  8AS  8BP  6AP  7BS  9BP  9CP  9CP  9CP 12CP 14DP  9CP 12DP 15DP 16DP
111  3    4    5    6AS  6AP  6AS  8AP  8BP  7AS  7BP  9BP  9CP  9CP  9CP 12CP 14DP 10DS 12DP 15DP 16DP
112  3    4    5    6AP  7AS  6AP  8AP  8BP  6AP  7BP 10BP  9CP 10CP  9CP 12CP 14DP 10DP 12DP 16DP 16DP
113  3    4    5    6AS  7AP  6AS  8AP  8BP  6BS  7BP 10BP  9CP 10CP  9CP 13CP 14DP 10DP 13DP 16DP 16DP
114  3    4    5    6AP  7AS  7AP  8AP  8BP  6BP  7BP 10BP 10CP 10CP 10CP 13CP 14DP 10DP 13DP 16DP 17DP
115  3    4    5AK  7AP  7AP  7AP  9BP  8BP  6BP  7BP 10BP 10CP 10CP 10CP 13CP 15DP 10DP 13DP 16DP 17DP
116  3    4    5AP  7AP  7AS  7AP  9BP  8BP  6BP  7BP 10BP 10CP 10CP 10CP 13DP 15DP 10DP 13DP 16DP 17DP
117  3    4    5AS  7AP  7AP  7AP  9BP  9BP  6BP  7BP 10BP 10CP 10CP 10DP 13DP 15DP 10DP 13DP 16EP 17EP
118  3    4    5AP  7AP  7AS  7AP  9BP  9CP  6BP  7BP 10CP 10CP 10CP 10DP 13DP 15DP 10DP 13DP 16EP 17EP
119  3    4    6AS  7AP  7AP  7BP  9BP  9CP  6BP  8BP 11CP 10CP 10CP 10DP 13DP 15DP 11DP 13DP 17EP 17EP
120  3    4    6AP  7AP  7AP  7BP  9BP  9CP  7BP  8BP 11CP 10CP 10CP 10DP 14DP 15DP 11DP 14DP 17EP 18EP
121  3    4    6AS  7AP  7AP  7BP  9BP  9CP  7BP  8BP 11CP 11CP 10CP 10DP 14DP 16DP 11DP 14DP 17EP 18EP
122  3    4    6AP  7BP  7AP  7BP  9BP  9CP  7BP  8CP 11CP 11CP 10CP 10DP 14DP 16DP 11DP 14DP 17EP 18EP
123  3    4    6AP  7BP  7BP  7BP  9BP  9CP  7BP  8CP 11CP 11CP 10CP 10DP 14DP 16DP 11DP 14DP 17EP 18EP
124  3    4    6AP  7BP  7BP  7BP 10BP  9CP  7BP  8CP 11CP 11CP 10CP 10DP 14DP 16DP 11DP 14DP 17EP 18EP
125  3    4AK  6AP  7BP  8BP  7BP 10BP 10CP  7BP  8CP 11CP 11CP 11CP 10DP 14DP 16DP 11DP 14DP 17EP 18EP
126  3    5AP  6AP  7BP  8BP  8BP 10CP 10CP  7BP  8CP 11CP 11CP 11CP 11DP 14DP 16DP 11DP 14DP 17EP 19EP
127  3    5AS  6AP  8BP  8BP  8BP 10CP 10CP  7CP  8CP 12CP 11DP 11DP 11DP 14DP 17DP 12DP 14EP 18EP 19EP
128  3    5AP  6AP  8BP  8BP  8BP 10CP 10CP  7CP  8CP 12CP 12DP 11DP 11DP 15DP 17DP 12DP 15EP 18EP 19EP
129  3    5AS  6BP  8BP  8BP  8BP 10CP 10CP  7CP  9CP 12CP 12DP 11DP 11DP 15DP 17DP 12DP 15EP 18EP 19EP
130  3AK  5AP  6BP  8BP  8BP  8CP 10CP 10CP  7CP  9CP 12CP 12DP 11DP 11DP 15DP 17DP 12EP 15EP 18EP 19EP
131  3AP  5AP  6BP  8BP  8BP  8CP 10CP 10DP  7CP  9CP 12CP 12DP 11DP 11DP 15DP 17EP 12EP 15EP 18EP 19EP
132  3AS  5AP  6BP  8CP  8CP  8CP 10CP 10DP  7CP  9CP 12CP 12DP 11DP 11DP 15DP 17EP 12EP 15EP 18EP 20EP
133  3AP  5AP  6BP  8CP  8CP  8CP 11CP 10DP  7CP  9CP 12CP 12DP 11DP 11DP 15DP 18EP 12EP 15EP 18EP 20EP
134  3AS  5AP  6BP  8CP  8CP  8CP 11CP 11DP  7CP  9CP 12DP 12DP 11DP 11DP 15EP 18EP 12EP 15EP 18EP 20EP
135  3AP  5AP  7BP  8CP  8CP  8CP 11CP 11DP  8CP  9CP 13DP 12DP 11DP 11DP 16EP 18EP 13EP 16EP 19EP 20EP
