6    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
52   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
61   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
62   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
67   2    1    0    0    1    0    0    0    0    0    0    0    4    0    0    0    0    0    0    0  
69   2    1    0    0    2    1    0    0    0    0    0    0    5    4    0    0    0    0    0    0  
71   2    2    0    0    2    1    0    0    0    0    0    0    5    4    0    0    0    0    0    0  
72   3    2    0    0    2    2    0    0    0    0    0    0    5    4    0    0    0    0    0    0  
73   3    2    1    0    3    2    1    0    2    0    0    0    5    5    4    0    0    0    0    0  
75   3    2    1    0    3    2    1    0    2    0    0    0    6    5    4    0    0    0    0    0  
76   3    2    1    0    3    2    2    0    2    0    0    0    6    5    5    0    0    0    0    0  
77   3    3    1    0    3    3    2    0    3    0    0    0    6    5    5    0    0    0    0    0  
78   3    3    2    1    4    3    2    1    3    0    2    0    6    5    5    4    0    0    0    0  
79   3    3    2    1    4    3    2    1    3    0    2    0    6    6    5    4    0    0    0    0  
80   3    3    2    1    4    3    3    1    3    0    2    2    7    6    6    4    0    0    0    0  
81   3    3    2    1    4    3    3    2    3    0    3    2AK  7    6    6    5    0    0    0    0  
82   4    3    2    2    4    4    3    2    4    0    3    2AK  7    6    6    5    0    0    0    0  
83   4    3    2    2    5    4    3    2    4    2    3    3AK  7    6    6    5    0    0    8    0  
84   4    3    3    2    5    4    4    2    4    2    4    3AK  7    7    7    6    0    0    8    0  
85   4    4    3    2    5    4    4    3    4    2    4    3AK  7    7    7    6AK  0    0    8    0  
86   4    4    3    2    5    4    4    3    5    3    4    4AK  8    7    7    6AK  0    0    9    0  
87   4    4    3    3    5    5    4    3    5    3    5    4AK  8    7    7    7AK  0    0    9AK  0  
88   4    4    3    3    6    5    5    4    5    3    5    4AK  8    7    8    7AK  3    0    9AK  0  
89   4    4    4    3    6    5    5    4    5    3    5    5BK  8    7    8    7AK  3    0    9AK  0  
90   4    4    4    3    6    5    5    4    5    4    6AK  5BK  8    8    8AK  8AK  3    0   10AK  0  
91   4    4    4    4    6    5    5    4    6    4    6AK  5BK  8    8    8AK  8AK  4    0   10AK  0  
92   5    5    4    4    6    6    6    5    6    4    6AK  6BK  9    8    9AK  8AK  4    0   10AK  0  
93   5    5    4    4    6    6    6    5    6    5    7AK  6BK  9    8    9AK  9AK  4    6   11AK  8  
94   5    5    4    4    7    6    6    5    6    5    7AK  6BK  9    8    9AK  9AK  4    6   11BK  8  
95   5    5    5    4    7    6    6    5AK  7    5AK  7AK  7BK  9    9AK  9AK  9AK  5    6   11BK  9  
96   5    5    5    5    7    6    7    6AK  7    5AK  7AK  7BK  9    9AK 10AK  9AK  5    7   11BK  9  
97   5    5    5    5    7    7    7    6AK  7    6AK  8AK  7BK  9    9AK 10AK 10AK  5    7   12BK  9AK
98   5    5    5    5    7    7    7    6AK  7    6AK  8AK  8BK 10    9AK 10AK 10BK  6    7   12BK 10AK
99   5    6    5    5    8    7    7    7AK  7    6AK  8BK  8BK 10    9AK 10AK 10BK  6    8   12BK 10AK
100  5    6    6    6AK  8    7    8    7AK  8AK  7AK  9BK  8BK 10AK  9AK 11AK 11BK  6    8   13BK 10AK
101  5    6    6    6AK  8    7    8    7AK  8AK  7AK  9BK  9BK 10AK 10AK 11AK 11BK  6    8   13BK 11AK
102  6    6    6    6AK  8    8    8    7AK  8AK  7AK  9BK  9BK 10AK 10AK 11AK 11BK  7    9AK 13BK 11AK
103  6    6    6    6AK  8    8    8    8AK  8AK  7AK 10BK  9CK 10AK 10AK 11BK 12BK  7    9AK 13CK 11BK
104  6    6    6    6AK  9    8    9    8AK  8AK  8BK 10BK 10CK 11AK 10BK 12BK 12BK  7    9AK 14CK 12BK
105  6    6    6    7AK  9    8    9AK  8AK  9AK  8BK 10BK 10CK 11AK 10BK 12BK 12BK  8   10AK 14CK 12BK
106  6    6    7    7AK  9    8    9AK  8BK  9AK  8BK 11BK 10CK 11AK 11BK 12BK 13BK  8   10AK 14CK 13BK
107  6    7    7    7AK  9    9    9AK  9BK  9AK  8BK 11BK 11CK 11AK 11BK 12BK 13BK  8AK 10AK 14CK 13BK
108  6    7    7    7AK  9    9   10AK  9BK  9AK  9BK 11BK 11CK 11AK 11BK 13BK 13BK  8AK 10AK 15CK 13BK
109  6    7    7    8AK 10    9   10AK  9BK 10AK  9BK 12BK 11CK 12AK 11BK 13BK 14BK  9AK 11AK 15CK 14BK
110  6    7    7AK  8AK 10    9AK 10AK 10BK 10AK  9BK 12BK 12CK 12AK 11BK 13BK 14BK  9AK 11BK 15CK 14CK
111  7    7    7AK  8AK 10   10AK 10AK 10BK 10BK 10BK 12CK 12CK 12BK 11BK 13BK 14BK  9AK 11BK 16CK 14CK
