5    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
27   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
38   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
42   1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
47   2    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
52   2    2    1    0    2    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
56   2    2    1    1    3    2    1    0    0    0    0    0    4    0    0    0    0    0    0    0  
59   3    2    2    1    4    3    2    1    0    0    0    0    5    4    0    0    0    0    0    0  
61   3    3    2    2    4    3    3    2    2    0    0    0    5    4    0    0    0    0    0    0  
64   3    3    2    2    4    4    3    2    2    0    0    0    5    5    4    0    0    0    0    0  
66   3    3    3    2    5    4    4    3    3    0    2    0    6    5    4    0    0    0    0    0  
68   3    3    3    3    5    5    4    3    3    0    2    0    6    5    5    4    0    0    0    0  
69   3    3    3    3    6    5    5    4    4    0    3    0    7    6    5    4    0    0    0    0  
70   3    3    3    3    6    5    5    4    4    2    3    2    7    6    6    5    0    0    8    0  
72   3    4    3    3    6    5    5    4    4    2    4    2    7    6    6    5    0    0    8    0  
73   3    4    4    3    6    6    6    5    4    3    4    3    7    7    6    6    0    0    9    0  
74   4    4    4    4    7    6    6    5    5    3    4    3    7    7    7    6    0    0    9    0  
75   4    4    4    4    7    6    6    5    5    3    5    3AK  8    7    7    6    3    0    9    0  
76   4    4    4    4    7    6    6    5    5    3    5    4AP  8    7    7    6AP  3    0    9    0  
77   4    4    4    4    7    6    7    6    5    4    5    4AS  8    7    7    7AS  3    0   10    0  
78   4    4    4    4    7    7    7    6    5    4    6    4AP  8    7    8    7AP  4    0   10    0  
79   4    4    4    4    7    7    7    6    6    4    6    5AS  8    8    8    7AS  4    0   10AK  0  
80   4    4    4    4    8    7    7    6    6    4    6    5AP  8    8    8    8AP  4    6   10AK  8  
81   4    4    4    5    8    7    7    7    6    5    6    5AS  9    8    8AP  8AS  4    6   11AP  8  
82   4    4    5    5    8    7    8    7    6    5    7    6AP  9    8    9AS  8AP  5    6   11AS  8  
83   4    5    5    5    8    8    8    7    7    5    7    6AS  9    8    9AP  9AS  5    7   11AP  9  
84   4    5    5    5    8    8    8    7    7    5    7    6AP  9    9    9AS  9AP  5    7   11AS  9  
85   4    5    5    5    9    8    8    8    7    6    8AK  6AS  9    9    9AP  9AS  5    7   12AP  9  
86   4    5    5    5    9    8    9    8    7    6    8AP  7AP 10    9AP 10AS  9AP  6    7   12AS 10  
87   4    5    5    5    9    8    9    8AK  7    6    8AS  7BS 10    9AS 10AP 10AS  6    8   12BP 10  
88   4    5    5    6    9    9    9    8AP  8    6    8AP  7BP 10    9AP 10AS 10AP  6    8   12BS 10  
89   5    5    5    6    9    9    9    9AS  8    7    9AS  8BS 10    9AS 10AP 10AS  6    8   13BP 11AK
90   5    5    6    6    9    9   10    9AP  8    7AK  9AP  8BP 10   10AP 11AS 11AP  7    9   13BS 11AP
91   5    5    6    6   10    9   10    9AS  8    7AP  9AS  8BS 10AS 10AS 11AP 11AS  7    9   13BP 11AS
92   5    5    6    6   10    9   10    9AP  8    7AS 10AP  9BP 11AS 10AP 11AS 11BP  7    9   13BS 12AP
93   5    5    6    6   10   10   10   10AS  9    8AP 10AS  9BS 11AP 10AS 11AP 12BS  7    9   14BP 12AS
