5    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
39   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
45   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
49   3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
54   3    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
57   4    3    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
59   4    3    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
62   5    4    2    0    3    2    0    0    0    0    0    0    5    0    0    0    0    0    0    0  
65   5    4    2    0    4    3    2    0    0    0    0    0    6    0    0    0    0    0    0    0  
66   6    5    3    2    5    4    2    0    0    0    0    0    7    5    5    5    0    0    0    0  
67   6    5    3    2    5    4    3    0    0    0    0    0    7    6    5AK  5AK  0    0    0    0  
68   6    5    4    3    6    4    3    0    0    0    0    0    8    6    6AS  6AS  0    0    0    0  
69   6    5    4    3    6    5    3    0    0    0    0    0    8    6    6AK  6AK  0    0    0    0  
70   6    5    4    3    6    5    4    2    3    0    0    0    9    7AK  7AS  7AS  0    0    0    0  
71   6    6    4    3    7    5    4    2    3    0    0    3    9    7AS  7AK  7AK  0    0    9    0  
72   7    6    4    4    7    6    4    3    4    0    0    3AK  9    8AK  8AS  8AS  0    0    9AK  0  
73   7    6    5    4    7    6    5    3    4    0    0    4AS 10    8AS  8AK  8AK  0    0   10AS  0  
74   7    6    5    4    8    6    5    3    4    0    0    4AK 10    8AK  9AS  9AS  0    0   10AK  0  
75   7    6    5    4    8    7    6    4    5    0    3AK  5AS 10AK  9AS  9AK  9AK  0    0   11AS  0  
76   7    7    5    5    8    7    6    4    5    0    3AS  5AK 11AS  9AK 10AS 10AS  0    0   11BK  0  
77   7    7    6    5    8    7    6    5    6    0    4AK  6AS 11AK 10BS 10BK 10AK  0    0   12BS  0  
78   7    7    6    5    9    8    7    5    6    0    4AS  6AK 12AS 10BK 10BS 11BS  0    0   12BK  0  
79   8    7    6    6    9    8    7    5    6    0    5AK  7AS 12AK 10BS 11BK 11BK  0    0   13BS  0  
80   8    7    6    6    9    8    7    6AK  7    3AK  5AS  7BK 12AS 11BK 11BS 12BS  0    0   13BK  0  
81   8    8    7    6   10    9    8    6AS  7    3AS  6AK  8BS 13AK 11BS 12BK 12BK  0    0   14BS  9  
82   8    8    7    6   10    9    8    7AK  8    4AK  6AS  8BK 13AS 12BK 12BS 13BS  0    0   14CK 10AK
83   8    8    7    7   10    9    9    7AS  8    4AS  7AK  9BS 13AK 12BS 13BK 13BK  0    0   15CS 10AS
84   8    8    7    7   11    9    9    7AK  8    5AK  7AS  9BK 14AS 12BK 13BS 14BS  0    7   15CK 11AK
85   9    8    7    7   11   10    9    8AS  9AK  5AS  8BK 10BS 14AK 13BS 14BK 14BK  4AK  8AK 16CS 11BS
86   9    8    8    7   11   10   10    8AK  9AS  6AK  8BS 10BK 15BS 13BK 14BS 15BS  5AS  8AS 16CK 12BK
87   9    9    8    8   11   10   10    9AS 10AK  6BS  9BK 11BS 15BK 14BS 15BK 15BK  5AK  9AK 17CS 12BS
88   9    9    8    8   12   11   10    9AK 10AS  7BK  9BS 11BK 15BS 14CK 15BS 16BS  6AS  9AS 17CS 13CK
89   9    9    8    8   12   11   11    9AS 10AK  7BS 10BK 12BS 16BK 14CS 16CK 16BK  6BK 10AK 18CS 14CS
90   9    9    9    8AK 12   11   11AK 10AK 11AS  8BK 10BS 12BK 16BS 15CK 16CS 17CS  7BS 10BS 18CS 14CK
91   9    9    9    9AS 13   12   12AS 10AS 11AK  8BS 11BK 12CS 16BK 15CS 16CK 17CK  7BK 11BK 18CS 15CS
92  10   10    9    9AK 13   12   12AK 11AK 12AS  9BK 11BS 13CK 17BS 16CK 17CS 18CS  8BS 11BS 19CS 15CK
93  10   10    9    9AS 13   12   12AS 11BS 12AK  9BS 12BK 13CS 17BK 16CS 17CK 18CK  9CK 12BK 19CS 16CS
94  10   10   10   10AK 14   13   13AK 11BK 12AS 10BK 12BS 14CK 18BS 16CK 18CS 19CS  9CS 13BS 20CS 16CK
95  10   10   10   10AS 14   13AK 13AS 12BS 13BK 10BS 13CK 14CS 18BK 17CS 18CK 19CK 10CK 13CK 20CS 17CS
96  10   10   10   10AK 14   13AS 13AK 12BK 13BS 11BK 13CS 15CK 18BS 17CK 19CS 20CS 10CS 14CS 21CS 18CS
97  10   11   10   10AS 14   14AK 14AS 13BS 14BK 11CS 14CK 15CS 19BK 18CS 19CK 20CK 11CK 14CK 21DS 18CS
