6    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
43   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
47   2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
53   3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
58   4    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
61   5    3    0    0    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
63   5    4    0    0    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
64   6    4    2    0    3    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
65   6    4    2    0    4    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
66   6    5    2    0    4    2    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
67   6    5    3    0    4    3    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
68   7    5    3    0    5    3    0    0    0    0    0    0    5    0    0    0    0    0    0    0  
69   7    5    3    2    5    3    2    0    0    0    0    0    5    0    0    0    0    0    0    0  
70   7    6    4    2    5    4    2    0    0    0    0    0    6    0    0    0    0    0    0    0  
71   7    6    4    3    6    4    3    0    0    0    0    0    6    5    5    5    0    0    0    0  
72   7    6    4    3    6    4    3    0    0    0    0    0    6    5AK  5AK  5AK  0    0    0    0  
73   8    6    4    3    6    5    3    0    0    0    0    0    7    6AK  6AK  6AK  0    0    0    0  
74   8    6    5    4    7    5    4    2    0    0    0    3    7    6AK  6AK  6AK  0    0    0    0  
75   8    7    5    4    7    5    4    2AK  0    0    0    3AK  7    6AK  7AK  7AK  0    0    0    0  
76   8    7    5    4    7    6    5    3AK  3    0    0    4AK  8    7AK  7AK  7AK  0    0    9    0  
77   8    7    6    5    7    6    5    3AK  3    0    3    4AK  8AK  7AK  7AK  8AK  0    0    9AK  0  
78   9    8    6    5    8    6    5    4AK  4    0    3AK  5AK  8AK  7AK  8AK  8AK  0    0   10AK  0  
79   9    8    6    5    8    7    6    4AK  4    0    4AK  5AK  9AK  8AK  8AK  9AK  0    0   10AK  0  
80   9    8    7    6    8    7    6    4AK  4    0    4AK  6AK  9AK  8BK  9AK  9AK  0    0   11AK  0  
81   9    8    7    6    9    7    7    5AK  5    0    5AK  6AK  9AK  8BK  9AK 10AK  0    0   11AK  0  
82  10    9    7    6AK  9    8    7    5AK  5    3    5AK  6AK 10AK  9BK 10BK 10AK  0    0   11BK  0  
83  10    9    7    7AK  9    8    7    6AK  5    3AK  6AK  7AK 10AK  9BK 10BK 11AK  0    0   12BK  0  
84  10    9    8    7AK 10    8    8    6AK  6    4AK  6AK  7BK 10AK 10BK 10BK 11BK  0    0   12BK  0  
85  10    9    8    7AK 10    9    8AK  6AK  6AK  4AK  7AK  8BK 11AK 10BK 11BK 11BK  0    0   13BK  0  
86  10   10    8    8AK 10    9    9AK  7BK  7AK  5AK  7AK  8BK 11AK 10BK 11BK 12BK  0    0   13BK  9  
87  11   10    9    8AK 11    9    9AK  7BK  7AK  5AK  8BK  9BK 11AK 11BK 12BK 12BK  0    0   14BK 10AK
88  11   10    9    8AK 11   10    9AK  8BK  7AK  6AK  8BK  9BK 12BK 11BK 12BK 13BK  0    0   14CK 10AK
89  11   10    9    9AK 11   10   10AK  8BK  8AK  6AK  8BK 10BK 12BK 11BK 13BK 13BK  4    7   14CK 11BK
90  11   11   10    9AK 12   10AK 10AK  9BK  8AK  6AK  9BK 10BK 13BK 12BK 13BK 14BK  4AK  7AK 15CK 11BK
91  11   11   10    9AK 12   11AK 10AK  9BK  8AK  7AK  9BK 10BK 13BK 12BK 13BK 14BK  5AK  8AK 15CK 12BK
92  12   11   10AK 10AK 12   11AK 11AK  9BK  9AK  7BK 10BK 11BK 13BK 12CK 14BK 15BK  5AK  8AK 16CK 12BK
93  12   11   10AK 10AK 13   11AK 11AK 10BK  9AK  8BK 10BK 11BK 14BK 13CK 14BK 15BK  6AK  9AK 16CK 13CK
94  12   12   11AK 10AK 13   12AK 12AK 10BK 10AK  8BK 11BK 12BK 14BK 13CK 15BK 16BK  6BK  9BK 17CK 13CK
95  12   12   11AK 11BK 13AK 12AK 12AK 11CK 10AK  9BK 11BK 12BK 14BK 14CK 15CK 16BK  7BK 10BK 17CK 14CK
96  12   12   11AK 11BK 13AK 12AK 12BK 11CK 10BK  9BK 12BK 13CK 15BK 14CK 16CK 17CK  7BK 10BK 17CK 14CK
97  13   12   12AK 11BK 14AK 13AK 13BK 11CK 11BK  9BK 12BK 13CK 15BK 14CK 16CK 17CK  8BK 11BK 18CK 15CK
98  13   13   12AK 12BK 14AK 13AK 13BK 12CK 11BK 10BK 13CK 14CK 15BK 15CK 16CK 17CK  8CK 11BK 18CK 15CK
99  13   13   12AK 12BK 14AK 13AK 14BK 12CK 11BK 10BK 13CK 14CK 16BK 15CK 17CK 18CK  9CK 12BK 19CK 16CK
100 13   13   13AK 12BK 15AK 14BK 14BK 13CK 12BK 11BK 14CK 14CK 16BK 15CK 17CK 18CK  9CK 12CK 19CK 16CK
101 13   13   13AK 13BK 15AK 14BK 14BK 13CK 12BK 11BK 14CK 15CK 16BK 16CK 18CK 19CK 10CK 13CK 20CK 17CK
102 14   14AK 13AK 13BK 15AK 14BK 15BK 14CK 13BK 12BK 14CK 15CK 17CK 16CK 18CK 19CK 10CK 13CK 20DK 17CK
103 14   14AK 13BK 13CK 16AK 15BK 15CK 14CK 13BK 12CK 15CK 16CK 17CK 16CK 19CK 20CK 11CK 14CK 20DK 18CK
