6    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F    F  
14   0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
24   1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
29   1    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
34   1    1    0    0    1    0    0    0    0    0    0    0    0    0    0    0    0    0    0    0  
39   1    1    1    0    1    1    0    0    0    0    0    0    3    0    0    0    0    0    0    0  
44   1    1    1    1    1    1    1    0    0    0    0    0    3    3    0    0    0    0    0    0  
49   1    1    1    1    2    1    1    1    2    0    0    0    3    3    3    0    0    0    0    0  
54   1    1    1    1    2    2    2    1    2    0    2    0    4    3    3    3    0    0    0    0  
59   1    2    2    2    2    2    2    2    2    2    2    2    4    4    4    4    0    0    8    0  
64   1    2    2    2    3    2    3    2    3    2    3    2    4    4    5    5    3    0    9    0  
68   1    2    2    2    3    3    3    3    3    2    4    3    5    5    5    5    4    6   10    8  
69   1    2    2    3    3    3    3    3    3    3    4    3    5    5    6    6    4    6   10    9  
70   1    2    2    3    3    3    4    3    3    3    4    3    5    5    6    6    5    7   10    9  
72   1    2    2    3    3    3    4    3    3    3    4    4    5    5    6    6    5    7   11    9  
74   1    2    3    3    3    3    4    4    3    3    4    4    5    5    6    6    5    7   11   10  
75   1    2    3    3    4    3    4    4    3    3    5    4    5    5    6    7    5    8   11   10  
76   1    2    3    3    4    3    4    4    3    3    5    4    5    5    6    7    6    8   12   11  
77   1    2    3    3    4    3    4    4    3    3    5    4    5    5    7    7    6    8   12   11  
78   1    2    3    3    4    4    4    4    3    3    5    4    6    5    7    7    6    8   12   11  
79   1    2    3    3    4    4    4    4    3    4    5    5    6    5    7    7    6    8   12   11  
80   1    2    3    3    4    4    5    4    4    4    5    5    6    5    7    7AK  6    9   12   11  
81   1    2    3    4    4    4    5    4    4    4    5    5    6    6    7    8AG  7    9   13   11  
82   1    2    3    4    4    4    5    4    4    4    5    5    6    6    7    8AK  7    9   13   12  
83   2    2    3    4    4    4    5    5    4    4    6    5    6    6    7    8AK  7    9   13   12  
84   2    2    3    4    4    4    5    5    4    4    6    5    6    6    7    8AK  7    9   13AK 12  
85   2    2    3    4    4    4    5    5    4    4    6    5    6    6    8AK  8AK  7   10   13AG 12  
